Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,EDCP,210,,301,Introduction to Music Education,Karen Lee,19,90.263157895,9.700183877,98.0,59.0,,,,,,,,,,,14
UBCV,2019,W,EDCP,210,,OVERALL,Introduction to Music Education,,19,90.263157895,9.700183877,98.0,59.0,,,,,,,,,,,14
UBCV,2019,W,EDCP,303,,001,Ceramic Design and Pedagogical Approaches: Art Education,Alexander De Cosson,20,91.2,2.984168755,97.0,87.0,,,,,,,,,,6,14
UBCV,2019,W,EDCP,303,,002,Ceramic Design and Pedagogical Approaches: Art Education,Alexander De Cosson,20,89.7,3.510885328,96.0,85.0,,,,,,,,,,10,10
UBCV,2019,W,EDCP,303,,OVERALL,Ceramic Design and Pedagogical Approaches: Art Education,,40,90.45,3.3046199210000005,97.0,85.0,,,,,,,,,,16,24
UBCV,2019,W,EDCP,304,,001,Textile Design and Pedagogical Approaches: Art Education,Lorrie Miller,20,88.25,9.048844067000001,99.0,60.0,,,,,,,,,0,6,12
UBCV,2019,W,EDCP,304,,002,Textile Design and Pedagogical Approaches: Art Education,Joanne M Ursino;Joanne Ursino,20,86.9,10.557611373,96.0,50.0,,,,,,,,,5,2,11
UBCV,2019,W,EDCP,304,,OVERALL,Textile Design and Pedagogical Approaches: Art Education,,40,87.575,9.729383198999999,99.0,50.0,,,,,,,,,5,8,23
UBCV,2019,W,EDCP,305,,301,Digital Media in Arts Education: Introduction,Daniel Bakan;Naoki Takemura,18,83.444444444,3.184931844,90.0,79.0,,,,,,,,,11,5,
UBCV,2019,W,EDCP,305,,OVERALL,Digital Media in Arts Education: Introduction,,18,83.444444444,3.184931844,90.0,79.0,,,,,,,,,11,5,
UBCV,2019,W,EDCP,312,A,301,Instrumental Pedagogy: Secondary,Karen Lee,24,89.75,4.747997289,99.0,77.0,,,,,,,,,,6,15
UBCV,2019,W,EDCP,312,A,OVERALL,Instrumental Pedagogy: Secondary,,24,89.75,4.747997289,99.0,77.0,,,,,,,,,,6,15
UBCV,2019,W,EDCP,313,A,301,Choral Pedagogy: Secondary,Scott Goble,20,81.8,12.386750137,93.0,37.0,,,,,,,,,6,,6
UBCV,2019,W,EDCP,313,A,OVERALL,Choral Pedagogy: Secondary,,20,81.8,12.386750137,93.0,37.0,,,,,,,,,6,,6
UBCV,2019,W,EDCP,327,A,031,Special Topics  in Health Education,Leanne Petherick,28,89.214285714,2.8461428460000002,94.0,85.0,,,,,,,,,,13,15
