Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,GEOB,102,,101,Our Changing Environment: Climate and Ecosystems,Conor Mcdowell;Jenna Anne Loesberg;Jenna Loesberg;Lara Grevstad;Lara Kelsey Grevstad;Michael Turley;Nina Hewitt,220,69.41363636,13.66717213,97.0,3.0,5,27.0,15,20.0,29.0,10,29.0,32,24,19,10
UBCV,2019,W,GEOB,102,,201,Our Changing Environment: Climate and Ecosystems,Jenna Anne Loesberg;Jenna Loesberg;Lara Grevstad;Lara Kelsey Grevstad;Lauren Jenner Smith;Lauren Smith;Marion Nyberg;Nina Hewitt,236,73.32627119,11.64106399,97.0,0.0,2,11.0,11,17.0,20.0,29,36.0,31,43,20,16
UBCV,2019,W,GEOB,102,,OVERALL,Our Changing Environment: Climate and Ecosystems,,456,71.43859649,12.79562775,97.0,0.0,7,38.0,26,37.0,49.0,39,65.0,63,67,39,26
UBCV,2019,W,GEOB,103,,101,Our Changing Environment: Water and Landscapes,James Kevin Pierce;James Pierce;Kyle Gerald Wlodarczyk;Kyle Wlodarczyk;Leonora King;Maria Elgueta;Matteo Saletti;Yinlue Wang,197,73.18274112,10.70461976,92.0,23.0,3,5.0,8,16.0,25.0,21,28.0,26,36,22,7
UBCV,2019,W,GEOB,103,,201,Our Changing Environment: Water and Landscapes,David Puhl;Derek Van Der Kamp;James Kevin Pierce;James Pierce;Matteo Saletti;Yinlue Wang,204,76.18137255,13.43150645,97.0,3.0,5,5.0,8,10.0,10.0,19,14.0,28,46,36,23
UBCV,2019,W,GEOB,103,,OVERALL,Our Changing Environment: Water and Landscapes,,401,74.70822943,12.24569954,97.0,3.0,8,10.0,16,26.0,35.0,40,42.0,54,82,58,30
UBCV,2019,W,GEOB,200,,101,Atmospheric Environments,Ian Mckendry;Marion Nyberg;Patrick Pow;Sarah Russell;Sung-Ching Lee,98,74.63265306,10.77070076,93.0,24.0,1,0.0,2,12.0,10.0,8,14.0,11,22,10,8
UBCV,2019,W,GEOB,200,,OVERALL,Atmospheric Environments,,98,74.63265306,10.77070076,93.0,24.0,1,0.0,2,12.0,10.0,8,14.0,11,22,10,8
UBCV,2019,W,GEOB,206,,201,Geomorphic Processes and Hazards,Brett Eaton;Lauren Vincent;William Booker,34,73.44117647,11.77874608,97.0,50.0,0,1.0,3,3.0,5.0,1,5.0,4,7,2,3
UBCV,2019,W,GEOB,206,,OVERALL,Geomorphic Processes and Hazards,,34,73.44117647,11.77874608,97.0,50.0,0,1.0,3,3.0,5.0,1,5.0,4,7,2,3
