Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,MINE,224,,101,Mineralogy for Mining Engineering,Maria Holuszko;Natalia Martino Rivero,26,74.23076923100001,13.90627971,100.0,31.0,,,,,,,7,,,,
UBCV,2019,W,MINE,224,,OVERALL,Mineralogy for Mining Engineering,,26,74.23076923100001,13.90627971,100.0,31.0,,,,,,,7,,,,
UBCV,2019,W,MINE,291,,101,Introduction to Mining,Andrea Arduini;Durjoy Baidya;Ikechukwu Joel;Malcolm Scoble,24,76.75,11.210437683,93.0,50.0,,,,,,,,,,,
UBCV,2019,W,MINE,291,,OVERALL,Introduction to Mining,,24,76.75,11.210437683,93.0,50.0,,,,,,,,,,,
UBCV,2019,W,MINE,292,,201,Introduction to Mineral Processing,Bern Klein;Mahir Cetin,24,79.375,6.945830779,93.0,66.0,,,,,,,,,7,5,
UBCV,2019,W,MINE,292,,OVERALL,Introduction to Mineral Processing,,24,79.375,6.945830779,93.0,66.0,,,,,,,,,7,5,
UBCV,2019,W,MINE,302,,201,Underground Mining and Design,Ali Fahrettin Kuyuk;Ali Kuyuk;Shervin Teymouri,37,74.108108108,10.418423275,92.0,50.0,,,,,,8,,,8,,
UBCV,2019,W,MINE,302,,OVERALL,Underground Mining and Design,,37,74.108108108,10.418423275,92.0,50.0,,,,,,8,,,8,,
UBCV,2019,W,MINE,303,,201,Rock Mechanics Fundamentals,Davide Elmo;Matthew King;Matthew Noel King;Na Yu Rita Tsai;Na Yu Tsai,65,76.09230769199999,11.185541835999999,98.0,50.0,,,,,7,6,10,7,13,5,9
UBCV,2019,W,MINE,303,,OVERALL,Rock Mechanics Fundamentals,,65,76.09230769199999,11.185541835999999,98.0,50.0,,,,,7,6,10,7,13,5,9
UBCV,2019,W,MINE,304,,201,Rock Fragmentation,Ali Fahrettin Kuyuk;Ali Kuyuk;Andrea Arduini;Retsepile Sello;Shervin Teymouri,34,70.323529412,10.495946081,88.0,51.0,,,,,6,5,,,7,,
UBCV,2019,W,MINE,304,,OVERALL,Rock Fragmentation,,34,70.323529412,10.495946081,88.0,51.0,,,,,6,5,,,7,,
UBCV,2019,W,MINE,310,,101,Surface Mining and Design,Andrea Arduini,32,74.625,11.94814063,96.0,40.0,,,,,,5,,5,7,,
UBCV,2019,W,MINE,310,,OVERALL,Surface Mining and Design,,32,74.625,11.94814063,96.0,40.0,,,,,,5,,5,7,,
UBCV,2019,W,MINE,331,,101,Physical Mineral Processes,Mewael Daniel Isiet;Mewael Isiet;Rohan Sharma;Sanja Miskovic,37,71.135135135,12.823940637,97.0,51.0,,5,,,,,8,,7,,
UBCV,2019,W,MINE,331,,OVERALL,Physical Mineral Processes,,37,71.135135135,12.823940637,97.0,51.0,,5,,,,,8,,7,,
UBCV,2019,W,MINE,333,,201,Flotation,Hamid Alizadeh;Marek Pawlik;Vinoth Kuppusamy,39,72.641025641,14.049699715,95.0,33.0,,,6,,,,5,,9,5,
UBCV,2019,W,MINE,333,,OVERALL,Flotation,,39,72.641025641,14.049699715,95.0,33.0,,,6,,,,5,,9,5,
UBCV,2019,W,MINE,350,,101,Modelling and Simulation,David Antoniak;W Scott Dunbar,34,78.058823529,10.171085507,93.0,51.0,,,,,,,5,5,7,6,
UBCV,2019,W,MINE,350,,OVERALL,Modelling and Simulation,,34,78.058823529,10.171085507,93.0,51.0,,,,,,,5,5,7,6,
UBCV,2019,W,MINE,393,,201,Seminar,Michael Schoen,35,81.028571429,8.056731617999999,92.0,62.0,,,,,,,,,7,11,5
UBCV,2019,W,MINE,393,,OVERALL,Seminar,,35,81.028571429,8.056731617999999,92.0,62.0,,,,,,,,,7,11,5
UBCV,2019,W,MINE,396,,101,Engineering Economics,Jose Carlos Lopes Da Costa;Jose Lopes Da Costa,60,81.65,8.442878857,97.0,60.0,,,,,,,,11,14,14,10
UBCV,2019,W,MINE,396,,OVERALL,Engineering Economics,,60,81.65,8.442878857,97.0,60.0,,,,,,,,11,14,14,10
UBCV,2019,W,MINE,402,,101,Mine Ventilation and Occupational Health and Safety,Ali Fahrettin Kuyuk;Ali Kuyuk;Seyed Ghoreishi-Madiseh,37,78.702702703,6.458692957,88.0,55.0,,,,,,,8,,17,5,
UBCV,2019,W,MINE,402,,OVERALL,Mine Ventilation and Occupational Health and Safety,,37,78.702702703,6.458692957,88.0,55.0,,,,,,,8,,17,5,
UBCV,2019,W,MINE,403,,201,Rock Mechanics Design,Davide Elmo;Matthew King,27,80.37037037,7.966990302,92.0,64.0,,,,,,,6,,,7,5
UBCV,2019,W,MINE,403,,OVERALL,Rock Mechanics Design,,27,80.37037037,7.966990302,92.0,64.0,,,,,,,6,,,7,5
UBCV,2019,W,MINE,404,,201,Mine Management,John Thomas Steen;W Scott Dunbar,66,83.196969697,10.136331755,100.0,59.0,,,,,,5,,11,11,12,19
UBCV,2019,W,MINE,404,,OVERALL,Mine Management,,66,83.196969697,10.136331755,100.0,59.0,,,,,,5,,11,11,12,19
UBCV,2019,W,MINE,406,,201,Mine Project Valuation and Risk Assessment,Jose Carlos Lopes Da Costa;Jose Lopes Da Costa,41,86.51219512200001,3.075076838,92.0,78.0,,,,,,,,,8,24,8
UBCV,2019,W,MINE,406,,OVERALL,Mine Project Valuation and Risk Assessment,,41,86.51219512200001,3.075076838,92.0,78.0,,,,,,,,,8,24,8
UBCV,2019,W,MINE,420,,201,Applied Geostatistics,Ilija Miskovic,7,90.428571429,9.863352082,98.0,73.0,,,,,,,,,,,5
UBCV,2019,W,MINE,420,,OVERALL,Applied Geostatistics,,7,90.428571429,9.863352082,98.0,73.0,,,,,,,,,,,5
UBCV,2019,W,MINE,432,,101,Mineral Process Control,Danny George;Ilija Miskovic;Matias Pinto Ahumada,37,75.162162162,7.399375023999999,85.0,50.0,,,,,,,15,,12,,
UBCV,2019,W,MINE,432,,OVERALL,Mineral Process Control,,37,75.162162162,7.399375023999999,85.0,50.0,,,,,,,15,,12,,
UBCV,2019,W,MINE,434,,201,Processing Precious Metal Ores,Bern Klein;Natalia Martino Rivero,14,71.5,9.732973299,90.0,55.0,,,,,,,,,,,
UBCV,2019,W,MINE,434,,OVERALL,Processing Precious Metal Ores,,14,71.5,9.732973299,90.0,55.0,,,,,,,,,,,
UBCV,2019,W,MINE,438,,201,Advanced Process Mineralogy,Maria Holuszko;Natalia Martino Rivero,12,74.583333333,9.169696469,82.0,55.0,,,,,,,,,5,,
UBCV,2019,W,MINE,438,,OVERALL,Advanced Process Mineralogy,,12,74.583333333,9.169696469,82.0,55.0,,,,,,,,,5,,
UBCV,2019,W,MINE,455,,201,Mine Water Management,Nadja Kunz;Sajjan Pokhrel;Sally Innis,82,77.817073171,6.999343971,90.0,54.0,,,,,5,6,9,21,26,11,
UBCV,2019,W,MINE,455,,OVERALL,Mine Water Management,,82,77.817073171,6.999343971,90.0,54.0,,,,,5,6,9,21,26,11,
UBCV,2019,W,MINE,462,,101,Coal Preparation Technology,Hamid Alizadeh;Marek Pawlik,12,82.166666667,9.513945108,95.0,65.0,,,,,,,,,,,
UBCV,2019,W,MINE,462,,OVERALL,Coal Preparation Technology,,12,82.166666667,9.513945108,95.0,65.0,,,,,,,,,,,
UBCV,2019,W,MINE,465,,101,Materials Handling,Ali Fahrettin Kuyuk;Ali Kuyuk;Seyed Ghoreishi-Madiseh,63,74.396825397,9.543685098,91.0,50.0,,,,5,8,6,5,10,15,9,
UBCV,2019,W,MINE,465,,OVERALL,Materials Handling,,63,74.396825397,9.543685098,91.0,50.0,,,,5,8,6,5,10,15,9,
UBCV,2019,W,MINE,480,,201,Mine Waste Management,Dirk Van Zyl;Yuan Li,72,82.041666667,6.563744852,95.0,55.0,,,,,,,7,10,25,18,8
UBCV,2019,W,MINE,480,,OVERALL,Mine Waste Management,,72,82.041666667,6.563744852,95.0,55.0,,,,,,,7,10,25,18,8
UBCV,2019,W,MINE,485,,201,Cave Mining Systems: Design and Planning,Allan Moss;Andrea Arduini;Stefan Nadolski,8,80.375,12.443443483,91.0,55.0,,,,,,,,,,,
UBCV,2019,W,MINE,485,,OVERALL,Cave Mining Systems: Design and Planning,,8,80.375,12.443443483,91.0,55.0,,,,,,,,,,,
UBCV,2019,W,MINE,486,,201,Mining and The Environment,Bruce Gavin Marshall;Bruce Marshall;Pariya Torkaman,76,76.065789474,7.3254543,92.0,58.0,,,,,,15,9,17,20,6,
UBCV,2019,W,MINE,486,,OVERALL,Mining and The Environment,,76,76.065789474,7.3254543,92.0,58.0,,,,,,15,9,17,20,6,
UBCV,2019,W,MINE,491,,001,Mine and Plant Engineering Design Feasibility Study,Andrea Arduini;Bern Klein;Hamid Alizadeh,43,79.348837209,5.622589307,95.0,69.0,,,,,,,5,20,12,,
UBCV,2019,W,MINE,491,,OVERALL,Mine and Plant Engineering Design Feasibility Study,,43,79.348837209,5.622589307,95.0,69.0,,,,,,,5,20,12,,
UBCV,2019,W,MINE,493,,001,Seminar,Edward Stanley Chessor;Malcolm Alexander Maclachlan;Malcolm Maclachlan,42,87.571428571,12.649386097,100.0,37.0,,,,,,,,,,8,25
UBCV,2019,W,MINE,493,,OVERALL,Seminar,,42,87.571428571,12.649386097,100.0,37.0,,,,,,,,,,8,25
UBCV,2019,W,MINE,501,A,101,Topics for Engineers in the Mining Industry,,16,93.1875,2.9713913689999996,98.0,85.0,,,,,,,,,,,15
UBCV,2019,W,MINE,501,A,OVERALL,Topics for Engineers in the Mining Industry,,16,93.1875,2.9713913689999996,98.0,85.0,,,,,,,,,,,15
