Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,SOIL,502,,001,Advanced Sustainable Soil Management,Maja Krzic;Sandra Brown;Sean Smukler,6,87.166666667,5.036533199,95.0,80.0,,,,,,,,,,,
UBCV,2019,W,SOIL,502,,OVERALL,Advanced Sustainable Soil Management,,6,87.166666667,5.036533199,95.0,80.0,,,,,,,,,,,
UBCV,2019,W,SOIL,503,,001,"Advanced Soil Sampling, Analyses and Data Interpretation",Maja Krzic;Sandra Brown;Susan Grayston,10,83.3,4.854551129,90.0,76.0,,,,,,,,,,,
UBCV,2019,W,SOIL,503,,OVERALL,"Advanced Soil Sampling, Analyses and Data Interpretation",,10,83.3,4.854551129,90.0,76.0,,,,,,,,,,,
UBCV,2019,W,SOIL,515,,001,Watershed Science,Sandra Brown,11,85.181818182,6.675600075,95.0,70.0,,,,,,,,,,5,
UBCV,2019,W,SOIL,515,,OVERALL,Watershed Science,,11,85.181818182,6.675600075,95.0,70.0,,,,,,,,,,5,
UBCV,2019,W,SOIL,516,,001,Urban Watershed Management,Julie Wilson,22,85.227272727,4.91772129,94.0,76.0,,,,,,,,,7,7,5
UBCV,2019,W,SOIL,516,,OVERALL,Urban Watershed Management,,22,85.227272727,4.91772129,94.0,76.0,,,,,,,,,7,7,5
UBCV,2019,W,SOIL,518,,001,Water in International Development,Hanspeter Schreier,34,80.647058824,4.7729182539999995,91.0,72.0,,,,,,,5,7,13,7,
UBCV,2019,W,SOIL,518,,OVERALL,Water in International Development,,34,80.647058824,4.7729182539999995,91.0,72.0,,,,,,,5,7,13,7,
