Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,UFOR,100,,101,Greening the City,Andrew Almas;Cecil Konijnendijk;Corinne Bassett;Corinne Grunder Bassett;Sophie Nitoslawski;Zhaohua Cheng,107,75.813084112,10.300330496,93.0,37.0,,,5,,8,9,13,20,26,15,
UBCV,2019,W,UFOR,100,,OVERALL,Greening the City,,107,75.813084112,10.300330496,93.0,37.0,,,5,,8,9,13,20,26,15,
UBCV,2019,W,UFOR,101,,201,Urban Forest Inventory and Assessment,Andrew Almas;Hyeone Park;Tahia Devisscher;Tyler Doucet,67,81.089552239,9.370701185,97.0,51.0,,,,,,,10,5,16,15,13
UBCV,2019,W,UFOR,101,,OVERALL,Urban Forest Inventory and Assessment,,67,81.089552239,9.370701185,97.0,51.0,,,,,,,10,5,16,15,13
UBCV,2019,W,UFOR,200,,101,Urban Forests and Well-Being,Emily Tu;Hyeone Park;Matilda Van Den Bosch,87,82.574712644,7.936715072,97.0,53.0,,,,,,6,6,12,26,19,16
UBCV,2019,W,UFOR,200,,OVERALL,Urban Forests and Well-Being,,87,82.574712644,7.936715072,97.0,53.0,,,,,,6,6,12,26,19,16
UBCV,2019,W,UFOR,201,,201,Introduction to Urban Forest Design,Andrew Almas;Emily Tu,72,77.138888889,6.705695615,87.0,57.0,,,,,,,15,15,22,10,
UBCV,2019,W,UFOR,201,,OVERALL,Introduction to Urban Forest Design,,72,77.138888889,6.705695615,87.0,57.0,,,,,,,15,15,22,10,
UBCV,2019,W,UFOR,300,,201,Arboriculture Principles and Practice,Laura Grant;Laura Rose Grant;Owen Croy;Susan Day,43,80.279069767,7.512927212999999,93.0,66.0,,,,,,,6,7,11,7,6
UBCV,2019,W,UFOR,300,,OVERALL,Arboriculture Principles and Practice,,43,80.279069767,7.512927212999999,93.0,66.0,,,,,,,6,7,11,7,6
UBCV,2019,W,UFOR,316,,101,Trees and Shrubs in Landscape,Egan Davis;Laura Grant;Laura Rose Grant;Sara Fryer,51,84.019607843,9.855942768,98.0,51.0,,,,,,,,6,10,7,20
UBCV,2019,W,UFOR,316,,OVERALL,Trees and Shrubs in Landscape,,51,84.019607843,9.855942768,98.0,51.0,,,,,,,,6,10,7,20
UBCV,2019,W,UFOR,401,,201,Integrated Urban Forestry Capstone Studio,Amy Blood;Andrew Almas;Corinne Bassett;Corinne Grunder Bassett;Paul De Greeff;Stephen Sheppard;Susan Day,27,82.777777778,4.526276558999999,92.0,70.0,,,,,,,,,11,10,
UBCV,2019,W,UFOR,401,,OVERALL,Integrated Urban Forestry Capstone Studio,,27,82.777777778,4.526276558999999,92.0,70.0,,,,,,,,,11,10,
UBCV,2019,W,UFOR,402,,201,"Urban Forestry Administration, Policy and Law",Cecil Konijnendijk;Hyeone Park;Sophie Nitoslawski,44,80.090909091,7.0308892610000004,94.0,64.0,,,,,,,5,9,12,9,
UBCV,2019,W,UFOR,402,,OVERALL,"Urban Forestry Administration, Policy and Law",,44,80.090909091,7.0308892610000004,94.0,64.0,,,,,,,5,9,12,9,
UBCV,2019,W,UFOR,403,,201,Ecological Restoration,Cindy Prescott;Daniel Stewart,42,91.714285714,6.137790634,99.0,71.0,,,,,,,,,,9,30
UBCV,2019,W,UFOR,403,,OVERALL,Ecological Restoration,,42,91.714285714,6.137790634,99.0,71.0,,,,,,,,,,9,30
UBCV,2019,W,UFOR,449,C,OVERALL,Directed Studies in Urban Forestry,,7,89.285714286,5.023753103,95.0,83.0,,,,,,,,,,,
UBCV,2019,W,UFOR,495,,201,Biodiversity in Urban Areas,John Richardson;Stefanie Lane,21,75.666666667,10.841279137,95.0,50.0,,,,,,,,,5,,
UBCV,2019,W,UFOR,495,,OVERALL,Biodiversity in Urban Areas,,21,75.666666667,10.841279137,95.0,50.0,,,,,,,,,5,,
