Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,S,COMM,203,,921,Managing the Employment Relationship,Logan Benninger;Logan James Benninger;Perdip Atwal;Suhaana Sidhu;Vivian Hui Xin Guo;Yu-Wung Cheng,122,76.319672131,7.8427377510000005,91.0,51.0,,,,6,7,17,18,21,32,16,
UBCV,2020,S,COMM,203,,971,Managing the Employment Relationship,Khalid Merali;Perdip Atwal;Suhaana Sidhu,60,74.283333333,8.559050452000001,91.0,44.0,,,,3,6,4,14,16,9,3,
UBCV,2020,S,COMM,203,,OVERALL,Managing the Employment Relationship,,182,75.648351648,8.119104578,91.0,44.0,,,,9,13,21,32,37,41,19,
UBCV,2020,S,COMM,204,,921,Logistics and Operations Management,Chuyu Chloe Jiang;Sha Liao;Wenyi Xia,58,77.017241379,10.485564646,100.0,55.0,,,,,7,6,7,6,13,7,6
UBCV,2020,S,COMM,204,,922,Logistics and Operations Management,Chuyu Chloe Jiang;Mona Imanpoor Yourdshahy;Sha Liao,58,75.84482758600001,11.241841835999999,100.0,55.0,,,5,5,7,,,7,12,8,6
UBCV,2020,S,COMM,204,,971,Logistics and Operations Management,Chuyu Chloe Jiang;Sha Liao,61,73.918032787,16.577389302,97.0,29.0,6,,,5,4,,,5,11,6,12
UBCV,2020,S,COMM,204,,972,Logistics and Operations Management,Chuyu Chloe Jiang;Sha Liao,55,76.909090909,10.002356625,97.0,53.0,,,,,5,6,10,10,8,7,5
UBCV,2020,S,COMM,204,,OVERALL,Logistics and Operations Management,,232,75.88362069,12.436828732,100.0,29.0,6,3.0,13,15,23,19,24,28,44,28,29
UBCV,2020,S,COMM,205,,921,Introduction to Management Information Systems,Abhilasha Pabbi;Adam Saunders;Christal Do;Han Xing Wang;Rebecca Chen,157,85.929936306,7.020222301,99.0,63.0,,,,,,,5,15,29,47,54
UBCV,2020,S,COMM,205,,OVERALL,Introduction to Management Information Systems,,157,85.929936306,7.020222301,99.0,63.0,,,,,,,5,15,29,47,54
UBCV,2020,S,COMM,290,,921,Introduction to Quantitative Decision Making,Forough Pourhossein;Hossein Piri;Sha Liao;Simon Neil Roberts;Simon Roberts,47,77.468085106,15.846891156,97.0,21.0,,,,,,,7,,9,8,10
UBCV,2020,S,COMM,290,,OVERALL,Introduction to Quantitative Decision Making,,47,77.468085106,15.846891156,97.0,21.0,,,,,,,7,,9,8,10
UBCV,2020,S,COMM,293,,921,Financial Accounting,Audrey Pao;Jessica Louie;Yiqin Wu;Zhi Yun Xu;Ziyue Zhang,126,89.484126984,5.3988652539999995,98.0,70.0,,,,,,,,2,15,28,77
UBCV,2020,S,COMM,293,,922,Financial Accounting,Audrey Pao;Jessica Louie;Yiqin Wu;Zhi Yun Xu;Ziyue Zhang,126,87.666666667,8.333066662,97.0,21.0,,,,,,,,5,11,45,60
UBCV,2020,S,COMM,293,,OVERALL,Financial Accounting,,252,88.575396825,7.065873165,98.0,21.0,,,,,,,5,7,26,73,137
UBCV,2020,S,COMM,294,,921,Managerial Accounting,Peter Norwood,9,69.0,17.406895186,94.0,35.0,,,,,,,2,1,1,0,1
UBCV,2020,S,COMM,294,,971,Managerial Accounting,Peter Norwood;Richard  K M Wong;Richard Kim-Ming Wong;Richard Wong;Yiqin Wu,59,76.050847458,15.252386731,93.0,0.0,,,,,,,9,7,6,10,12
UBCV,2020,S,COMM,294,,OVERALL,Managerial Accounting,,68,75.11764705899999,15.599970735,94.0,0.0,,,,,,5,11,8,7,10,13
UBCV,2020,S,COMM,295,,921,Managerial Economics,Ashley Lo;Helen Liu;Ratna Shrestha,85,76.741176471,10.417650934,94.0,45.0,,,5,,,8,14,4,24,15,6
UBCV,2020,S,COMM,295,,971,Managerial Economics,Aassem Abdel-Aziz;Anush Kumar;Cheng Chen;Do Not Use Purge;Min Kyeong Baik,71,79.971830986,10.72110313,95.0,29.0,,,1,,,5,8,11,9,19,12
UBCV,2020,S,COMM,295,,OVERALL,Managerial Economics,,156,78.211538462,10.645616766,95.0,29.0,,,6,5,7,13,22,15,33,34,18
UBCV,2020,S,COMM,335,,921,Information Systems Technology and Development,Alym Amlani;Ansel Hartanto;Arash Saghafi;Bach Le Kim;Lyuyuan Zhao;Nataniella Nataniella,118,78.483050847,6.689362714,91.0,50.0,,,,,,11,17,14,45,24,
UBCV,2020,S,COMM,335,,OVERALL,Information Systems Technology and Development,,118,78.483050847,6.689362714,91.0,50.0,,,,,,11,17,14,45,24,
UBCV,2020,S,COMM,382,,921,Economics of Entrepreneurship and Innovation,Makeda Yemaneberhan Adefris;Steven Minns,39,78.307692308,3.480425308,87.0,72.0,,,,,,,7,16,14,,
UBCV,2020,S,COMM,382,,OVERALL,Economics of Entrepreneurship and Innovation,,39,78.307692308,3.480425308,87.0,72.0,,,,,,,7,16,14,,
UBCV,2020,S,COMM,390,,921,Business Writing,Chad Brealey,21,81.19047619,5.988481006000001,89.0,70.0,,,,,,,,8,,7,
UBCV,2020,S,COMM,390,,922,Business Writing,Cameron Morrell,19,76.15789473699999,8.308383704,88.0,58.0,,,,,,,5,,,,
UBCV,2020,S,COMM,390,,923,Business Writing,Elizabeth Bowker,21,81.428571429,4.904808137,90.0,71.0,,,,,,,,,8,6,
UBCV,2020,S,COMM,390,,924,Business Writing,Holly Munn,22,81.636363636,4.716187468999999,92.0,73.0,,,,,,,,,11,,
UBCV,2020,S,COMM,390,,925,Business Writing,Chad Brealey,19,83.315789474,3.590924232,89.0,77.0,,,,,,,,,11,5,
UBCV,2020,S,COMM,390,,971,Business Writing,Cameron Morrell,19,72.263157895,9.362111022999999,88.0,56.0,,,,,,,,,,,
UBCV,2020,S,COMM,390,,972,Business Writing,Wayne Rawcliffe,23,78.217391304,5.367888713999999,90.0,64.0,,,,,,,7,,9,,
UBCV,2020,S,COMM,390,,OVERALL,Business Writing,,144,79.256944444,7.0480335279999995,92.0,56.0,,,,,6,8,19,26,48,29,
UBCV,2020,S,COMM,393,,921,Commercial Law,Barbara Cox;Sylvia Leigh Rowat;Sylvia Rowat,60,77.983333333,12.622943419,94.0,44.0,,,,,7,,,5,11,12,13
UBCV,2020,S,COMM,393,,922,Commercial Law,Barbara Cox;Sylvia Leigh Rowat;Sylvia Rowat,57,73.701754386,10.274734811,94.0,44.0,,,,,6,12,7,5,14,6,1
UBCV,2020,S,COMM,393,,971,Commercial Law,Ellen Mcintosh;Iryna Ponomarenko;Yaxi Liu,61,79.409836066,10.325336232,93.0,38.0,,,,,,7,6,6,14,17,7
UBCV,2020,S,COMM,393,,972,Commercial Law,Ellen Mcintosh;Yaxi Liu,62,78.64516129,10.416092175,93.0,50.0,,,,,,,,7,23,7,9
UBCV,2020,S,COMM,393,,OVERALL,Commercial Law,,243,77.440329218,11.113963515,94.0,38.0,6,6,7,6,16,24,20,23,62,43,30
UBCV,2020,S,COMM,394,,921,Government and Business,Steven Minns;Zain Azhar,48,78.375,4.2256813630000005,86.0,71.0,,,,,,,14,9,18,6,
UBCV,2020,S,COMM,394,,922,Government and Business,Steven Minns;Zain Azhar,44,76.954545455,4.214893557,85.0,70.0,,,,,,,13,13,11,,
UBCV,2020,S,COMM,394,,923,Government and Business,Steven Minns,52,78.48076923100001,3.8475374589999998,88.0,70.0,,,,,,,14,10,25,,
UBCV,2020,S,COMM,394,,OVERALL,Government and Business,,144,77.979166667,4.117961255,88.0,70.0,,,,,,5,41,32,54,12,
UBCV,2020,S,COMM,395,,921,Business Communications,Alexandra Skarsgard;Cameron Morrell,40,78.125,3.005870325,86.0,70.0,,,,,,,3,22,11,,
UBCV,2020,S,COMM,395,,971,Business Communications,Cameron Morrell;Katherine Skarsgard,39,77.23076923100001,4.34960094,87.0,69.0,,,,,,,10,16,6,,
UBCV,2020,S,COMM,395,,OVERALL,Business Communications,,79,77.683544304,3.733233643,87.0,69.0,,,,,,6,13,38,17,5,
