Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,S,EDST,426,,941,History of Education,Jason Ellis,24,79.0,13.28287554,90.0,26.0,1,0,0,0,0,4,0,4,6.0,6.0,3
UBCV,2020,S,EDST,426,,OVERALL,History of Education,,24,79.0,13.28287554,90.0,26.0,1,0,0,0,0,4,0,4,6.0,6.0,3
UBCV,2020,S,EDST,493,,941,Introduction to the Study of Higher Education,Sharon Rebekah Stein,30,94.733333333,3.084257395,98.0,87.0,0,0,0,0,0,0,0,0,0.0,3.0,27
UBCV,2020,S,EDST,493,,OVERALL,Introduction to the Study of Higher Education,,30,94.733333333,3.084257395,98.0,87.0,0,0,0,0,0,0,0,0,0.0,3.0,27
UBCV,2020,S,EDST,514,,941,Adult Education Program Planning Theory,Robert Vanwynsberghe;Thomas Joda Sork,17,95.705882353,3.036542151,99.0,89.0,0,0,0,0,0,0,0,0,0.0,1.0,16
UBCV,2020,S,EDST,514,,OVERALL,Adult Education Program Planning Theory,,17,95.705882353,3.036542151,99.0,89.0,0,0,0,0,0,0,0,0,0.0,1.0,16
UBCV,2020,S,EDST,518,,951,Theory and Research on Adult Learning,Hongxia Shan,11,85.636363636,12.192397035,94.0,51.0,0,,,,,,,,1.0,4.0,5
UBCV,2020,S,EDST,518,,OVERALL,Theory and Research on Adult Learning,,11,85.636363636,12.192397035,94.0,51.0,0,,,,,,,,1.0,4.0,5
UBCV,2020,S,EDST,532,,96A,Leadership in Educational Organizations,Bradley Baker;Christine Stewart,20,94.35,2.277463964,98.0,86.0,0,0,0,0,0,0,0,0,0.0,1.0,19
UBCV,2020,S,EDST,532,,96B,Leadership in Educational Organizations,Bradley Baker;Christine Stewart;Verna Billy-Minnabarriet,18,91.611111111,4.367512267,95.0,82.0,0,0,0,0,0,0,0,0,3.0,0.0,15
UBCV,2020,S,EDST,532,,OVERALL,Leadership in Educational Organizations,,38,93.052631579,3.653560784,98.0,82.0,0,0,0,0,0,0,0,0,3.0,1.0,34
UBCV,2020,S,EDST,536,,941,Higher Education Systems in Canada,Sharon Rebekah Stein,22,96.272727273,3.026577797,100.0,85.0,0,0,0,0,0,0,0,0,0.0,1.0,21
UBCV,2020,S,EDST,536,,OVERALL,Higher Education Systems in Canada,,22,96.272727273,3.026577797,100.0,85.0,0,0,0,0,0,0,0,0,0.0,1.0,21
UBCV,2020,S,EDST,542,,971,Fostering Learning in Practice,Garnet Grosjean,18,81.722222222,5.311536341,87.0,70.0,0,0,0,0,0,1,0,8,0.0,9.0,0
UBCV,2020,S,EDST,542,,OVERALL,Fostering Learning in Practice,,18,81.722222222,5.311536341,87.0,70.0,0,0,0,0,0,1,0,8,0.0,9.0,0
UBCV,2020,S,EDST,553,A,93A,Group Inquiry into Educational Practices,Lynne Tomlinson,20,91.8,4.549146826,98.0,80.0,0,0,0,0,0,0,0,0,1.0,5.0,14
UBCV,2020,S,EDST,553,A,93B,Group Inquiry into Educational Practices,Beverley Bosetti;Terry-Lee Beaudry,18,87.833333333,4.003674783,95.0,81.0,0,0,0,0,0,0,0,0,3.0,9.0,6
UBCV,2020,S,EDST,553,A,OVERALL,Group Inquiry into Educational Practices,,38,89.921052632,4.692613972,98.0,80.0,0,0,0,0,0,0,0,0,4.0,14.0,20
UBCV,2020,S,EDST,561,A,93A,Practicum,Allison Bernice Earl,20,88.7,4.053588404,92.0,75.0,0,0,0,0,0,0,1,0.0,1.0,5.0,13
UBCV,2020,S,EDST,561,A,OVERALL,Practicum,,20,88.7,4.053588404,92.0,75.0,0,0,0,0,0,0,1,0.0,1.0,5.0,13
UBCV,2020,S,EDST,565,A,951,Special Course in Subject Matter Field,Bathseba Opini,16,93.6875,2.75,97.0,88.0,0,0,0,0,0,0,0,0,0.0,2.0,14
UBCV,2020,S,EDST,565,A,OVERALL,Special Course in Subject Matter Field,,16,93.6875,2.75,97.0,88.0,0,0,0,0,0,0,0,0,0.0,2.0,14
UBCV,2020,S,EDST,565,B,951,Special Course in Subject Matter Field,Handel Wright,6,86.666666667,1.211060142,88.0,85.0,0,0,0,0,0,0,0,0,0.0,6.0,0
UBCV,2020,S,EDST,565,B,OVERALL,Special Course in Subject Matter Field,,6,86.666666667,1.211060142,88.0,85.0,0,0,0,0,0,0,0,0,0.0,6.0,0
UBCV,2020,S,EDST,572,,941,"Research, Writing, and Representation",Robert Vanwynsberghe,19,93.526315789,0.772328446,95.0,92.0,0,0,0,0,0,0,0,0,0.0,0.0,19
UBCV,2020,S,EDST,572,,OVERALL,"Research, Writing, and Representation",,19,93.526315789,0.772328446,95.0,92.0,0,0,0,0,0,0,0,0,0.0,0.0,19
UBCV,2020,S,EDST,577,,951,"Social Contexts of Educational Policy, Politics and Practice",Judith Walker,11,90.363636364,1.858640755,93.0,87.0,0,0,0,0,0,0,0,0,0.0,2.0,9
UBCV,2020,S,EDST,577,,OVERALL,"Social Contexts of Educational Policy, Politics and Practice",,11,90.363636364,1.858640755,93.0,87.0,0,0,0,0,0,0,0,0,0.0,2.0,9
UBCV,2020,S,EDST,578,,941,Multiculturalism and its Critical Alternatives: Diversity in Education and Society,Handel Wright,7,87.0,0.816496581,88.0,86.0,0,0,0,0,0,0,0,0,0.0,7.0,0
UBCV,2020,S,EDST,578,,OVERALL,Multiculturalism and its Critical Alternatives: Diversity in Education and Society,,7,87.0,0.816496581,88.0,86.0,0,0,0,0,0,0,0,0,0.0,7.0,0
UBCV,2020,S,EDST,580,A,96A,Directed Study,Judith Lindsay Halbert;Linda Kaser,7,91.0,3.741657387,95.0,88.0,0,0,0,0,0,0,0,0,0.0,4.0,3
UBCV,2020,S,EDST,580,A,OVERALL,Directed Study,,11,90.363636364,4.272533845,95.0,82.0,0,0,0,0,0,0,0,0,1.0,5.0,5
UBCV,2020,S,EDST,581,,96A,"Leadership, Administration, and the Aims of Education",Bradley Baker;Jacqueline Ottmann,20,94.2,2.802254731,98.0,86.0,0,0,0,0,0,0,0,0,0.0,2.0,18
UBCV,2020,S,EDST,581,,96B,"Leadership, Administration, and the Aims of Education",Bradley Baker;Christine Stewart;Jacqueline Ottmann,18,87.055555556,6.932211448,95.0,72.0,0,0,0,0,0,0,1,0.0,6.0,4.0,7
UBCV,2020,S,EDST,581,,OVERALL,"Leadership, Administration, and the Aims of Education",,38,90.815789474,6.259502023,98.0,72.0,0,0,0,0,0,0,1,0.0,6.0,6.0,25
UBCV,2020,S,EDST,582,,941,The Study of Educational Organizations,Monica Pamer;Wendy Poole,20,93.8,2.504732363,97.0,87.0,0,0,0,0,0,0,0,0,0.0,2.0,18
UBCV,2020,S,EDST,582,,OVERALL,The Study of Educational Organizations,,20,93.8,2.504732363,97.0,87.0,0,0,0,0,0,0,0,0,0.0,2.0,18
UBCV,2020,S,EDST,591,,93A,Indigenous Epistemology and Curriculum,Alannah Young;Amber Shilling,19,90.315789474,2.789915004,97.0,86.0,0,0,0,0,0,0,0,0,0.0,8.0,11
UBCV,2020,S,EDST,591,,971,Indigenous Epistemology and Curriculum,Cash Ahenakew,19,93.473684211,2.611266637,100.0,88.0,0,0,0,0,0,0,0,0,0.0,1.0,18
UBCV,2020,S,EDST,591,,OVERALL,Indigenous Epistemology and Curriculum,,38,91.894736842,3.108745064,100.0,86.0,0,0,0,0,0,0,0,0,0.0,9.0,29
UBCV,2020,S,EDST,595,,951,Philosophical Research in Education,Samuel Rocha Perkerwicz,12,93.5,1.087114613,95.0,92.0,0,0,0,0,0,0,0,0,0.0,0.0,12
UBCV,2020,S,EDST,595,,OVERALL,Philosophical Research in Education,,12,93.5,1.087114613,95.0,92.0,0,0,0,0,0,0,0,0,0.0,0.0,12
UBCV,2020,S,EDST,596,A,951,Philosophy and Educational Policy,Philip Webb,8,98.75,3.535533906,100.0,90.0,0,0,0,0,0,0,0,0,0.0,0.0,8
UBCV,2020,S,EDST,596,A,OVERALL,Philosophy and Educational Policy,,8,98.75,3.535533906,100.0,90.0,0,0,0,0,0,0,0,0,0.0,0.0,8
