Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,S,ENGL,110,,JL1,Approaches to Literature,Jamie Paris;Paul Endo,39,69.615384615,12.086563624000002,82.0,15.0,,,,,,9,10,,7,,
UBCV,2020,S,ENGL,110,,JL2,Approaches to Literature,Lorcan Francis Fox,41,77.87804878,4.833193157,86.0,66.0,,,,,,,9,11,13,5,
UBCV,2020,S,ENGL,110,,JL3,Approaches to Literature,Duff Roberts;Sarah Parry,42,78.738095238,6.355560361,91.0,62.0,,,,,,,5,13,10,7,
UBCV,2020,S,ENGL,110,,JL4,Approaches to Literature,Erin Goheen;Sarika Bose,40,76.375,6.705097563,89.0,60.0,,,,,,8,7,7,11,,
UBCV,2020,S,ENGL,110,,MA1,Approaches to Literature,Craig Stensrud;Duff Roberts;Gisele Marie Baxter,74,71.905405405,5.765197709,82.0,60.0,,,,9,7,16,18,13,11,,
UBCV,2020,S,ENGL,110,,MA2,Approaches to Literature,George Macgregor Morgan;George Morgan,41,75.731707317,4.171476898,88.0,68.0,,,,,,,17,10,8,,
UBCV,2020,S,ENGL,110,,MA3,Approaches to Literature,Alexander Hart,33,69.696969697,6.95739197,83.0,50.0,,,,6,,12,5,,3,,
UBCV,2020,S,ENGL,110,,MA4,Approaches to Literature,Bronwyn Elizabeth Bate Malloy;Bronwyn Malloy;Jonathan Newell;Paul Endo,67,77.134328358,6.984605415,89.0,53.0,,,,,,5,9,21,14,12,
UBCV,2020,S,ENGL,110,,MA5,Approaches to Literature,Gillian Jerome;Jonathan Newell,38,77.710526316,4.947879124,86.0,66.0,,,,,,,8,9,15,,
UBCV,2020,S,ENGL,110,,OVERALL,Approaches to Literature,,415,74.980722892,7.464545147000001,91.0,15.0,,5,,20,19,63,88,92,92,32,
UBCV,2020,S,ENGL,220,,921,Literature in English to the 18th Century,Lorcan Francis Fox,37,75.72972973,13.779309465999999,86.0,0.0,,,,,,,5,15,14,,
UBCV,2020,S,ENGL,220,,OVERALL,Literature in English to the 18th Century,,37,75.72972973,13.779309465999999,86.0,0.0,,,,,,,5,15,14,,
UBCV,2020,S,ENGL,222,,921,Literature in Canada,Duff Roberts,41,76.707317073,12.855434459000001,88.0,8.0,,,,,,,6,10,12,7,
UBCV,2020,S,ENGL,222,,OVERALL,Literature in Canada,,41,76.707317073,12.855434459000001,88.0,8.0,,,,,,,6,10,12,7,
UBCV,2020,S,ENGL,224,,951,World Literature in English,Gillian Jerome;Kasim Husain,29,70.034482759,19.100266936,90.0,0.0,,,,,,7,,6,,,
UBCV,2020,S,ENGL,224,,OVERALL,World Literature in English,,29,70.034482759,19.100266936,90.0,0.0,,,,,,7,,6,,,
UBCV,2020,S,ENGL,247,,951,Television Studies,Kelsey Moskal;Robert Rouse,61,76.393442623,13.561315925,92.0,10.0,,,,,,,8,15,20,8,
UBCV,2020,S,ENGL,247,,OVERALL,Television Studies,,61,76.393442623,13.561315925,92.0,10.0,,,,,,,8,15,20,8,
UBCV,2020,S,ENGL,301,,98A,Technical Writing,Erika Paterson,29,81.793103448,11.159170829,96.0,36.0,,,,,,,,,12,6,5
UBCV,2020,S,ENGL,301,,OVERALL,Technical Writing,,29,81.793103448,11.159170829,96.0,36.0,,,,,,,,,12,6,5
UBCV,2020,S,ENGL,321,,98A,English Grammar and Usage,Wilhelmina Georgina Biermann,45,80.111111111,10.856967227,97.0,50.0,,,,,,,6,,7,14,7
UBCV,2020,S,ENGL,321,,OVERALL,English Grammar and Usage,,45,80.111111111,10.856967227,97.0,50.0,,,,,,,6,,7,14,7
UBCV,2020,S,ENGL,330,,98A,The Structure of Modern English: Sounds and Words,Susan Blake,36,77.944444444,10.666220229,92.0,43.0,,,,,,,,6,9,6,
UBCV,2020,S,ENGL,330,,OVERALL,The Structure of Modern English: Sounds and Words,,36,77.944444444,10.666220229,92.0,43.0,,,,,,,,6,9,6,
