Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,BAHR,505,,MM1,Leadership,Amy Stanley;Jonathan Blair Evans;Victoria Lansdown,56,81.839285714,3.483868204,88.0,71.0,0,0,0,0,0,1,1,11,32,11,0
UBCV,2020,W,BAHR,505,,OVERALL,Leadership,,56,81.839285714,3.483868204,88.0,71.0,0,0,0,0,0,1,1,11,32,11,0
UBCV,2020,W,BAHR,507,,001,Two-Party Negotiations,Perdip Atwal,38,83.0,5.286392527,90.0,57.0,0,0,,,,,,3,16,17,1
UBCV,2020,W,BAHR,507,,002,Two-Party Negotiations,Perdip Atwal,45,83.644444444,3.262427676,90.0,77.0,0,0,0,0,0,0,0,4,25,14,2
UBCV,2020,W,BAHR,507,,DD1,Two-Party Negotiations,Hannah Borland;Perdip Atwal,41,82.87804878,3.522748373,89.0,76.0,0,0,0,0,0,0,0,8,19,14,0
UBCV,2020,W,BAHR,507,,DD2,Two-Party Negotiations,Hannah Borland;Perdip Atwal,32,84.15625,3.96849996,91.0,78.0,0,0,0,0,0,0,0,4,15,9,4
UBCV,2020,W,BAHR,507,,OVERALL,Two-Party Negotiations,,156,83.391025641,4.03624501,91.0,57.0,0,0,,,,,,19,75,54,7
UBCV,2020,W,BAHR,508,,001,Managing Change,Inderjit Bajwa;Wayne Rawcliffe,16,83.875,4.688638751,90.0,70.0,0,0,0,0,0,1,0,0,8,6,1
UBCV,2020,W,BAHR,508,,OVERALL,Managing Change,,16,83.875,4.688638751,90.0,70.0,0,0,0,0,0,1,0,0,8,6,1
UBCV,2020,W,BAHR,550,,001,Organizational Behavior,Lingtao Yu,70,83.357142857,1.668425573,87.0,80.0,0,0,0,0,0,0,0,0,53,17,0
UBCV,2020,W,BAHR,550,,002,Organizational Behavior,Dhiraj Hariramani;Lingtao Yu,42,83.761904762,1.5430335,87.0,81.0,0,0,0,0,0,0,0,0,29,13,0
UBCV,2020,W,BAHR,550,,MM1,Organizational Behavior,Min Beom Kay;Tracey Gurton;Victoria Lansdown,46,80.956521739,4.844041112,88.0,66.0,0,0,0,0,1,1,3,8,24,9,0
UBCV,2020,W,BAHR,550,,OVERALL,Organizational Behavior,,158,82.765822785,3.154549281,88.0,66.0,0,0,0,0,1,1,3,8,106,39,0
UBCV,2020,W,BAHR,560,,300,Building High Performance Teams and Organizations,Victoria Lansdown;Wayne Rawcliffe,53,83.320754717,4.535219378,90.0,58.0,0,0,,,,,,1,34,12,5
UBCV,2020,W,BAHR,560,,OVERALL,Building High Performance Teams and Organizations,,53,83.320754717,4.535219378,90.0,58.0,0,0,,,,,,1,34,12,5
UBCV,2020,W,BAHR,580,A,001,Topics in Human Resources,Barnini Bhattacharyya;Rebecca Mee Kyung Paluch,14,83.285714286,3.891382421,87.0,73.0,0,0,0,0,0,0,1,1,6,6,0
UBCV,2020,W,BAHR,580,A,OVERALL,Topics in Human Resources,,14,83.285714286,3.891382421,87.0,73.0,0,0,0,0,0,0,1,1,6,6,0
UBCV,2020,W,BAHR,580,C,001,Topics in Human Resources,Jiaopu Li;Robert Prowse,36,83.361111111,2.380309437,88.0,80.0,0,0,0,0,0,0,0,0,23,13,0
UBCV,2020,W,BAHR,580,C,OVERALL,Topics in Human Resources,,36,83.361111111,2.380309437,88.0,80.0,0,0,0,0,0,0,0,0,23,13,0
