Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,CPEN,211,,101,Introduction to Microcomputers,Chuan Yu Bai;Debasish Mohapatra;Deval Shah;Jared Paul;Jonathan Lew;Kieran Weaver;Nikhil Pratap Ghanathe;Pavithran Palanichamy;Ryan Meshulam;Taher Kathawala;Tor Aamodt;Tristen Raab;Venkata Praneeth Srungarapu;Vishnu Rajendran Chandrika;Woongkwan Kim;Yang Yu;Yuan Hsi Chou;Zachary Fu,262,73.286259542,13.052726926,100.0,16.0,12,9.0,11,19.0,23.0,26,31.0,41,49,24,17
UBCV,2020,W,CPEN,211,,OVERALL,Introduction to Microcomputers,,262,73.286259542,13.052726926,100.0,16.0,12,9.0,11,19.0,23.0,26,31.0,41,49,24,17
UBCV,2020,W,CPEN,221,,101,Principles of Software Construction,Alberto Misail Guber;Emily Love;Emma Gray;Grady Thompson;Harteij Sidhu;Madeline Ferguson;Melvin Mathews;Paul Juralowicz;Quinn Ferbers;Rafiuzzaman Mohammad;Sathish Gopalakrishnan;Shaylin Cattell;Sylvia Zhang;Victoria Schuster;Yuntao Wu;Zi Yu Xue,260,70.719230769,12.50243279,95.0,27.0,17,10.0,10,22.0,16.0,38,52.0,30,38,19,8
UBCV,2020,W,CPEN,221,,OVERALL,Principles of Software Construction,,260,70.719230769,12.50243279,95.0,27.0,17,10.0,10,22.0,16.0,38,52.0,30,38,19,8
UBCV,2020,W,CPEN,223,,101,Software Design for Engineers,Farshid Agharebparast;Kritika Arora;Rishab Madaan;Yaman Malkoc,99,74.666666667,9.752027523,95.0,53.0,0,1.0,5,7.0,15.0,11,13.0,19,11,13,4
UBCV,2020,W,CPEN,223,,OVERALL,Software Design for Engineers,,99,74.666666667,9.752027523,95.0,53.0,0,1.0,5,7.0,15.0,11,13.0,19,11,13,4
UBCV,2020,W,CPEN,281,,101,Technical Communication,Hartaj Sanghara;Randall Kerr,43,71.069767442,6.891662834,80.0,47.0,2,0.0,0,2.0,5.0,7,16.0,9,2,0,0
UBCV,2020,W,CPEN,281,,102,Technical Communication,Hongxing Estella Qi;Randall Kerr,37,72.621621622,6.68477271,85.0,47.0,1,0.0,0,1.0,5.0,7,8.0,11,3,1,0
UBCV,2020,W,CPEN,281,,103,Technical Communication,Hartaj Sanghara,47,70.595744681,9.223456804,82.0,44.0,4,0.0,0,1.0,6.0,12,7.0,11,6,0,0
UBCV,2020,W,CPEN,281,,OVERALL,Technical Communication,,127,71.346456693,7.769882793,85.0,44.0,7,0.0,0,4.0,16.0,26,31.0,31,11,1,0
UBCV,2020,W,CPEN,291,,201,Computer Engineering Design Studio I,Christopher Ng;Deval Shah;Mieszko Lis;Mohammadhossein Olyaiy,116,88.939655172,9.747498045,99.0,35.0,1,1.0,2,0.0,0.0,3,3.0,2,6,29,69
UBCV,2020,W,CPEN,291,,OVERALL,Computer Engineering Design Studio I,,116,88.939655172,9.747498045,99.0,35.0,1,1.0,2,0.0,0.0,3,3.0,2,6,29,69
UBCV,2020,W,CPEN,311,,101,Digital Systems Design,Caroline White;Esther Roorda;Fredy Augusto Maciel Alves;Guy Lemieux;Mohamed Omran Matar,93,76.806451613,15.331310719,100.0,32.0,5,6.0,2,4.0,5.0,7,5.0,4,21,15,19
UBCV,2020,W,CPEN,311,,201,Digital Systems Design,Esther Roorda;Jose Pinilla Gomez;Muhammad Adnan;Yair Linn;Yazan Al Attar;Yuan Hsi Chou;Zhonghua Zhou,121,84.909090909,17.869900205,100.0,5.0,14,1.0,1,0.0,2.0,1,6.0,5,12,15,64
UBCV,2020,W,CPEN,311,,OVERALL,Digital Systems Design,,214,81.387850467,17.252176621,100.0,5.0,19,7.0,3,4.0,7.0,8,11.0,9,33,30,83
UBCV,2020,W,CPEN,312,,201,Digital Systems and Microcomputers,Fredy Augusto Maciel Alves;Jesus Calvino-Fraga;Lufei Liu;Venkata Praneeth Srungarapu;Yan Qi Gu;Yang Yu,155,66.374193548,16.80798681,100.0,28.0,41,5.0,7,5.0,8.0,20,18.0,13,18,8,12
UBCV,2020,W,CPEN,312,,OVERALL,Digital Systems and Microcomputers,,155,66.374193548,16.80798681,100.0,28.0,41,5.0,7,5.0,8.0,20,18.0,13,18,8,12
UBCV,2020,W,CPEN,321,,101,Software Engineering,Faridah Akinotcho;Jackson Xie;Julia Rubin;Michael Cao;Sahar Badihi;Yingying Wang,100,82.82,8.996497635,99.0,32.0,1,0.0,0,2.0,0.0,6,4.0,8,35,27,17
UBCV,2020,W,CPEN,321,,OVERALL,Software Engineering,,100,82.82,8.996497635,99.0,32.0,1,0.0,0,2.0,0.0,6,4.0,8,35,27,17
UBCV,2020,W,CPEN,331,,101,Operating Systems,Adam Dixon;Alex Macdonald;Alexandra Fedorova;Guanxiong Chen;Leslie Cheng;Nima Nasiri;Victor Xiong;Wesley Chang;Yunpeng Liu,113,84.061946903,8.74569607,100.0,56.0,0,0.0,2,2.0,3.0,3,7.0,14,22,26,34
UBCV,2020,W,CPEN,331,,OVERALL,Operating Systems,,113,84.061946903,8.74569607,100.0,56.0,0,0.0,2,2.0,3.0,3,7.0,14,22,26,34
UBCV,2020,W,CPEN,333,,101,System Software Engineering,Hooman Vaseli;Mohammadhossein Olyaiy;Paul Davies;Shuyong Xie;Zhonghua Zhou,113,80.734513274,8.502119168,99.0,59.0,0,0.0,1,5.0,1.0,10,14.0,14,25,24,19
UBCV,2020,W,CPEN,333,,102,System Software Engineering,Seyed Ali Mousavifar;Shan Lu,18,78.888888889,11.871314358,95.0,53.0,0,1.0,0,0.0,2.0,2,2.0,2,3,1,5
UBCV,2020,W,CPEN,333,,OVERALL,System Software Engineering,,131,80.480916031,9.006280838,99.0,53.0,0,1.0,1,5.0,3.0,12,16.0,16,28,25,24
UBCV,2020,W,CPEN,391,,201,Computer Engineering Design Studio II,Andrew David Gunter;Cristian Sorin Grecu;Kritika Arora;Mohamed Omran Matar;Nikhil Pratap Ghanathe;Tala Bazzaza,107,89.504672897,7.206357036,99.0,59.0,0,0.0,1,0.0,0.0,0,4.0,6,10,24,62
UBCV,2020,W,CPEN,391,,OVERALL,Computer Engineering Design Studio II,,107,89.504672897,7.206357036,99.0,59.0,0,0.0,1,0.0,0.0,0,4.0,6,10,24,62
UBCV,2020,W,CPEN,400,A,101,Topics in Computer Engineering,Junbin Zhang;Karthik Pattabiraman;Kumseok Jung;Niranjhana Narayanan;Pritam Dash,123,78.520325203,9.13321231,95.0,41.0,1,1.0,3,1.0,5.0,11,12.0,23,36,17,13
UBCV,2020,W,CPEN,400,A,OVERALL,Topics in Computer Engineering,,123,78.520325203,9.13321231,95.0,41.0,1,1.0,3,1.0,5.0,11,12.0,23,36,17,13
UBCV,2020,W,CPEN,400,D,106,Topics in Computer Engineering,Bradley Quinton;Daniel Holanda Noronha;Jose Pablo Pinilla Gomez;Jose Pinilla Gomez;Scott Chin,71,88.690140845,7.916694024,99.0,51.0,0,1.0,0,0.0,1.0,0,1.0,4,7,21,36
UBCV,2020,W,CPEN,400,D,OVERALL,Topics in Computer Engineering,,71,88.690140845,7.916694024,99.0,51.0,0,1.0,0,0.0,1.0,0,1.0,4,7,21,36
UBCV,2020,W,CPEN,411,,101,Computer Architecture,Bolin Wang;Muhammad Adnan;Prashant Nair,34,79.352941176,14.545398841,100.0,26.0,1,0.0,1,2.0,1.0,3,4.0,1,7,7,7
UBCV,2020,W,CPEN,411,,OVERALL,Computer Architecture,,34,79.352941176,14.545398841,100.0,26.0,1,0.0,1,2.0,1.0,3,4.0,1,7,7,7
UBCV,2020,W,CPEN,412,,101,Microcomputer Systems Design,John Maverick Cuyugan;Lufei Liu;Paul Davies,37,83.72972973,9.385712098,97.0,53.0,0,1.0,0,0.0,1.0,2,5.0,2,4,8,14
UBCV,2020,W,CPEN,412,,OVERALL,Microcomputer Systems Design,,37,83.72972973,9.385712098,97.0,53.0,0,1.0,0,0.0,1.0,2,5.0,2,4,8,14
UBCV,2020,W,CPEN,421,,201,Software Project Management,Asem Ghaleb;Patrick Conroy;Pritam Dash,51,79.882352941,6.320275497,97.0,67.0,0,0.0,0,0.0,2.0,3,7.0,7,21,8,3
UBCV,2020,W,CPEN,421,,OVERALL,Software Project Management,,51,79.882352941,6.320275497,97.0,67.0,0,0.0,0,0.0,2.0,3,7.0,7,21,8,3
UBCV,2020,W,CPEN,422,,101,Software Testing and Analysis,Ali Mesbah;Marjane Namavar;Rahul Krishna Yandrapally,44,82.431818182,7.586394576,97.0,63.0,0,0.0,0,1.0,1.0,2,3.0,5,15,9,8
UBCV,2020,W,CPEN,422,,OVERALL,Software Testing and Analysis,,44,82.431818182,7.586394576,97.0,63.0,0,0.0,0,1.0,1.0,2,3.0,5,15,9,8
UBCV,2020,W,CPEN,431,,201,Design of Distributed Software Applications,Kumseok Jung;Marjane Namavar;Sathish Gopalakrishnan,55,83.545454545,5.255748817,93.0,68.0,0,0.0,0,0.0,0.0,2,2.0,6,16,26,3
UBCV,2020,W,CPEN,431,,OVERALL,Design of Distributed Software Applications,,55,83.545454545,5.255748817,93.0,68.0,0,0.0,0,0.0,0.0,2,2.0,6,16,26,3
UBCV,2020,W,CPEN,432,,201,Real-time System Design,Bader Alahmad;Geetika Batta,12,82.5,8.618162639,97.0,62.0,0,0.0,0,1.0,0.0,0,0.0,3,3,3,2
UBCV,2020,W,CPEN,432,,OVERALL,Real-time System Design,,12,82.5,8.618162639,97.0,62.0,0,0.0,0,1.0,0.0,0,0.0,3,3,3,2
UBCV,2020,W,CPEN,441,,201,Human Computer Interfaces in Engineering Design,Atabak Eghbal;S Sidney Fels;Shan Lu,39,87.025641026,8.125616347,96.0,68.0,0,0.0,0,0.0,0.0,3,1.0,3,6,6,20
UBCV,2020,W,CPEN,441,,OVERALL,Human Computer Interfaces in Engineering Design,,39,87.025641026,8.125616347,96.0,68.0,0,0.0,0,0.0,0.0,3,1.0,3,6,6,20
UBCV,2020,W,CPEN,442,,101,Introduction to Cybersecurity,Borke Obada-Obieh;Konstantin Beznosov;Masoud Mehrabi Koushki,35,76.428571429,8.99766543,93.0,56.0,0,0.0,1,3.0,1.0,5,7.0,5,7,3,3
