Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,DHYG,405,,001,Oral Microbiology and Immunology,Hossain Najar,23,88.43478261,4.708079004,96.0,78.0,0,0,0,0,0,0.0,0,1,3,10,9
UBCV,2020,W,DHYG,405,,OVERALL,Oral Microbiology and Immunology,,28,87.60714286,5.013605827,96.0,77.0,0,0,0,0,0,0.0,0,2,5,11,10
UBCV,2020,W,DHYG,410,,001,Dental Hygiene Theory & Practice IV,Diana Lin;Leeann Donnelly;Penny Hatzimanolakis;Susan Schmitz;Zul Kanji,23,88.13043478,3.671813372,94.0,81.0,0,0,0,0,0,0.0,0,0,5,9,9
UBCV,2020,W,DHYG,410,,OVERALL,Dental Hygiene Theory & Practice IV,,23,88.13043478,3.671813372,94.0,81.0,0,0,0,0,0,0.0,0,0,5,9,9
UBCV,2020,W,DHYG,412,,001,Oral Health Care Trends & Topics,Rae Mcfarlane,23,92.2173913,2.334650485,98.0,87.0,0,0,0,0,0,0.0,0,0,0,3,20
UBCV,2020,W,DHYG,412,,99A,Oral Health Care Trends & Topics,Rae Mcfarlane,10,87.5,1.269295518,89.0,86.0,0,0,0,0,0,0.0,0,0,0,10,0
UBCV,2020,W,DHYG,412,,OVERALL,Oral Health Care Trends & Topics,,33,90.78787879,3.007881062,98.0,86.0,0,0,0,0,0,0.0,0,0,0,13,20
UBCV,2020,W,DHYG,435,,99A,Oral Medicine and Pathology,Denise Laronde,9,80.22222222,7.013875138,87.0,65.0,0,0,0,0,1,0.0,1,1,4,2,0
UBCV,2020,W,DHYG,435,,OVERALL,Oral Medicine and Pathology,,9,80.22222222,7.013875138,87.0,65.0,0,0,0,0,1,0.0,1,1,4,2,0
UBCV,2020,W,DHYG,462,,002,Literature Review II,Zul Kanji,23,85.91304348,3.527979637,91.0,78.0,0,0,0,0,0,0.0,0,1,5,12,5
UBCV,2020,W,DHYG,462,,OVERALL,Literature Review II,,27,85.81481482,3.453393393,91.0,78.0,0,0,0,0,0,0.0,0,1,7,13,6
