Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,ECED,400,,63A,Introduction to Early Childhood Education and Care,Angelpreet Singh;Maria Pighini,26,90.5,4.949747468,96.0,80.0,0,0,0,0,0.0,0.0,0,0.0,5,3,18
UBCV,2020,W,ECED,400,,63D,Introduction to Early Childhood Education and Care,Nancy Van Groll,21,75.42857143,7.645727098,89.0,62.0,0,0,0,2,2.0,3.0,3,4.0,4,3,0
UBCV,2020,W,ECED,400,,63E,Introduction to Early Childhood Education and Care,Koichi Haseyama,26,82.19230769,18.75957192,96.0,0.0,1,0,0,0,1.0,3.0,0,1.0,2,7,11
UBCV,2020,W,ECED,400,,OVERALL,Introduction to Early Childhood Education and Care,,73,83.20547945,13.57075993,96.0,0.0,1,0,0,2,3.0,6.0,3,5.0,11,13,29
UBCV,2020,W,ECED,401,,63A,Supporting Young Children's Health and Well-Being in Early Childhood Settings,Madelaine Hittos,31,82.58064516,8.184433165,99.0,63.0,0,0,0,1,0.0,1.0,4,6.0,4,10,5
UBCV,2020,W,ECED,401,,63C,Supporting Young Children's Health and Well-Being in Early Childhood Settings,Madelaine Hittos,27,89.96296296,7.851905606,99.0,68.0,0,0,0,0,0.0,1.0,1,0.0,3,5,17
UBCV,2020,W,ECED,401,,63D,Supporting Young Children's Health and Well-Being in Early Childhood Settings,Ji Eun Kim,29,80.44827586,16.25376046,92.0,0.0,1,0,0,0,0.0,0.0,3,1.0,12,9,3
UBCV,2020,W,ECED,401,,OVERALL,Supporting Young Children's Health and Well-Being in Early Childhood Settings,,87,84.16091954,12.00569009,99.0,0.0,1,0,0,1,0.0,2.0,8,7.0,19,24,25
UBCV,2020,W,ECED,405,A,63A,Foundations of Curriculum and Instruction in Early Childhood Education,Madelaine Hittos,16,87.4375,7.685213074,97.0,73.0,0,0,0,0,0.0,0.0,2,1.0,2,3,8
UBCV,2020,W,ECED,405,A,63B,Foundations of Curriculum and Instruction in Early Childhood Education,Jane White,16,86.125,8.853436244,99.0,69.0,0,0,0,0,0.0,1.0,2,0.0,3,2,8
UBCV,2020,W,ECED,405,A,63C,Foundations of Curriculum and Instruction in Early Childhood Education,Jane White,26,82.76923077,19.20064102,99.0,20.0,2,0,0,0,0.0,0.0,1,2.0,5,6,10
UBCV,2020,W,ECED,405,A,OVERALL,Foundations of Curriculum and Instruction in Early Childhood Education,,58,84.98275862,14.2182134,99.0,20.0,2,0,0,0,0.0,1.0,5,3.0,10,11,26
UBCV,2020,W,ECED,406,,63A,Early Learning Curriculum in the Pre-School Years,Ji Eun Kim;Madelaine Hittos,21,84.14285714,3.525417908,93.0,80.0,0,0,0,0,0.0,0.0,0,0.0,12,7,2
UBCV,2020,W,ECED,406,,63C,Early Learning Curriculum in the Pre-School Years,Madelaine Hittos,24,80.95833333,10.78839621,96.0,53.0,0,1,1,0,0.0,3.0,1,2.0,3,8,5
UBCV,2020,W,ECED,406,,OVERALL,Early Learning Curriculum in the Pre-School Years,,45,82.44444444,8.310878839,96.0,53.0,0,1,1,0,0.0,3.0,1,2.0,15,15,7
UBCV,2020,W,ECED,407,,63A,Supporting Early Learning in the Pre-School Years,Ji Eun Kim;Maria Pighini,28,83.5,7.62792142,95.0,59.0,0,0,1,0,0.0,0.0,2,3.0,10,5,7
UBCV,2020,W,ECED,407,,63C,Supporting Early Learning in the Pre-School Years,Ji Eun Kim;Maria Pighini,24,80.83333333,17.06169538,92.0,2.0,1,0,0,0,0.0,0.0,0,0.0,14,7,2
UBCV,2020,W,ECED,407,,OVERALL,Supporting Early Learning in the Pre-School Years,,52,82.26923077,12.80183103,95.0,2.0,1,0,1,0,0.0,0.0,2,3.0,24,12,9
UBCV,2020,W,ECED,416,,63A,Kindergarten Curriculum,Kathleen Ecclestone,32,93.53125,5.736045479,99.0,76.0,0,0,0,0,0.0,0.0,0,2.0,1,1,28
UBCV,2020,W,ECED,416,,OVERALL,Kindergarten Curriculum,,32,93.53125,5.736045479,99.0,76.0,0,0,0,0,0.0,0.0,0,2.0,1,1,28
UBCV,2020,W,ECED,417,,63A,Supporting Learning in the Kindergarten Year,Kathleen Ecclestone,24,94.33333333,4.742652594,100.0,84.0,0,0,0,0,0.0,0.0,0,0.0,1,4,19
UBCV,2020,W,ECED,417,,OVERALL,Supporting Learning in the Kindergarten Year,,24,94.33333333,4.742652594,100.0,84.0,0,0,0,0,0.0,0.0,0,0.0,1,4,19
