Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,EECE,541,,101,Multimedia Systems,Mahsa Talebpourazad,10,86.0,3.527668415,90.0,80.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,5,2
UBCV,2020,W,EECE,541,,201,Multimedia Systems,Mahsa Talebpourazad;Panos Nasiopoulos,14,88.285714286,3.406522509,95.0,83.0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,6,6
UBCV,2020,W,EECE,541,,OVERALL,Multimedia Systems,,24,87.333333333,3.571221526,95.0,80.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,11,8
UBCV,2020,W,EECE,549,,101,Dynamic Modelling of Electric Machines and Controls,Juri Jatskevich,10,80.5,11.118053387,99.0,68.0,0,0,0,0,0.0,4.0,0.0,1.0,1.0,2,2
UBCV,2020,W,EECE,549,,OVERALL,Dynamic Modelling of Electric Machines and Controls,,10,80.5,11.118053387,99.0,68.0,0,0,0,0,0.0,4.0,0.0,1.0,1.0,2,2
UBCV,2020,W,EECE,550,,201,Topics in Power Electronic Design,Martin Ordonez,7,76.714285714,25.636655305,95.0,20.0,1,0,0,0,0.0,0.0,0.0,0.0,3.0,1,2
UBCV,2020,W,EECE,550,,OVERALL,Topics in Power Electronic Design,,7,76.714285714,25.636655305,95.0,20.0,1,0,0,0,0.0,0.0,0.0,0.0,3.0,1,2
UBCV,2020,W,EECE,553,,201,Advanced Power Systems Analysis,Ebrahim Vaahedi;Rubinderjit Singh Nagi,11,79.818181818,10.284144902,97.0,60.0,0,0,0,1,1.0,0.0,0.0,4.0,1.0,3,1
UBCV,2020,W,EECE,553,,OVERALL,Advanced Power Systems Analysis,,11,79.818181818,10.284144902,97.0,60.0,0,0,0,1,1.0,0.0,0.0,4.0,1.0,3,1
UBCV,2020,W,EECE,555,,101,Renewable and Efficient Electric Power Systems,Bo Chen;Sina Chiniforoosh,21,82.19047619,7.801404025,99.0,70.0,0,0,0,0,0.0,1.0,1.0,6.0,6.0,2,5
UBCV,2020,W,EECE,555,,OVERALL,Renewable and Efficient Electric Power Systems,,21,82.19047619,7.801404025,99.0,70.0,0,0,0,0,0.0,1.0,1.0,6.0,6.0,2,5
UBCV,2020,W,EECE,560,,201,Network Analysis and Simulation,Jose Marti,13,90.153846154,5.535433645,97.0,76.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,5,7
UBCV,2020,W,EECE,560,,OVERALL,Network Analysis and Simulation,,13,90.153846154,5.535433645,97.0,76.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,5,7
UBCV,2020,W,EECE,562,,101,Statistical Signal Processing with Applications in Wireless Communications and Defence,Zhen Wang,8,88.625,4.627171305,95.0,81.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4,3
UBCV,2020,W,EECE,562,,OVERALL,Statistical Signal Processing with Applications in Wireless Communications and Defence,,8,88.625,4.627171305,95.0,81.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4,3
UBCV,2020,W,EECE,565,,101,Communication Networks,Wai-Shuen Vincent Wong,10,78.1,10.887811738,95.0,60.0,0,0,0,1,0.0,2.0,1.0,2.0,1.0,1,2
UBCV,2020,W,EECE,565,,OVERALL,Communication Networks,,10,78.1,10.887811738,95.0,60.0,0,0,0,1,0.0,2.0,1.0,2.0,1.0,1,2
UBCV,2020,W,EECE,567,,201,Power System Dynamics and Stability,Yu Christine Chen,9,89.0,6.144102864,96.0,78.0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,3,4
UBCV,2020,W,EECE,567,,OVERALL,Power System Dynamics and Stability,,9,89.0,6.144102864,96.0,78.0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,3,4
UBCV,2020,W,EECE,570,,101,Fundamentals of Visual Computing,Nourhan Bayasi;Nourhan Yahya Bayasi;Rafeef Garbi,18,78.444444444,9.313003068,94.0,60.0,0,0,0,1,2.0,0.0,4.0,4.0,1.0,4,2
UBCV,2020,W,EECE,570,,OVERALL,Fundamentals of Visual Computing,,18,78.444444444,9.313003068,94.0,60.0,0,0,0,1,2.0,0.0,4.0,4.0,1.0,4,2
UBCV,2020,W,EECE,571,A,101,Electrical Engineering Seminar and Special Problems,Aidan Hughes;David Michelson,8,94.5,2.267786838,97.0,92.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,8
UBCV,2020,W,EECE,571,A,OVERALL,Electrical Engineering Seminar and Special Problems,,8,94.5,2.267786838,97.0,92.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,8
