Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,EOSC,110,,101,The Solid Earth: A Dynamic Planet,Ali Mehrabifard;Brett Gilley;James Kelly Russell;Lucy Porritt;Owen Perfect;Sarah Lockwood;Simon Peacock,108,74.583333333,17.648766868,93.0,0.0,6,3.0,3.0,7.0,8.0,2,8.0,11.0,26.0,22,12
UBCV,2020,W,EOSC,110,,201,The Solid Earth: A Dynamic Planet,Ali Mehrabifard;An Kun Ma;Georgia Peterson;Lori Kennedy,82,80.682926829,14.367210653,96.0,21.0,3,4.0,1.0,1.0,3.0,4,2.0,3.0,17.0,21,23
UBCV,2020,W,EOSC,110,,OVERALL,The Solid Earth: A Dynamic Planet,,228,78.013157895,16.416516949,96.0,0.0,11,8.0,5.0,9.0,11.0,6,11.0,15.0,49.0,51,52
UBCV,2020,W,EOSC,110,,V01,The Solid Earth: A Dynamic Planet,Brett Gilley;Lindsey Rayborn;Tom-Pierre Frappe-Seneclauze,38,82.0,15.307655742,96.0,27.0,2,1.0,1.0,1.0,0.0,0,1.0,1.0,6.0,8,17
UBCV,2020,W,EOSC,111,,L2A,Laboratory Exploration of Planet Earth,Ashley Davidson;David Puhl;Philippe Tortell,22,93.772727273,4.709987546,99.0,81.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3,18
UBCV,2020,W,EOSC,111,,L2B,Laboratory Exploration of Planet Earth,Ashley Davidson;Philippe Tortell,26,95.0,5.059644256,100.0,77.0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1,24
UBCV,2020,W,EOSC,111,,L2C,Laboratory Exploration of Planet Earth,Ashley Davidson;Doriane Drolet;Philippe Tortell,25,91.2,9.759610648,100.0,55.0,0,0.0,1.0,0.0,0.0,0,0.0,1.0,2.0,6,15
UBCV,2020,W,EOSC,111,,L2D,Laboratory Exploration of Planet Earth,Ashley Davidson;Jovian Varian;Philippe Tortell,27,94.62962963,7.560769945,100.0,64.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,4,22
UBCV,2020,W,EOSC,111,,L2E,Laboratory Exploration of Planet Earth,Ashley Davidson;Philippe Tortell;Robert Rutz,28,95.535714286,4.717831759,100.0,81.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,1,25
UBCV,2020,W,EOSC,111,,L2F,Laboratory Exploration of Planet Earth,Ashley Davidson;Karly Mcmullen;Philippe Tortell,30,93.5,8.613341696,100.0,63.0,0,0.0,0.0,1.0,0.0,1,0.0,0.0,1.0,3,24
