Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,FNEL,180,,001,Introduction to Endangered Language Documentation and Revitalization,Corrie Maya Daurio;Mark Turin,33,87.57575758,9.516532664,99.0,49.0,1,0,0,0,0,1,1,1,3,12,14
UBCV,2020,W,FNEL,180,,OVERALL,Introduction to Endangered Language Documentation and Revitalization,,33,87.57575758,9.516532664,99.0,49.0,1,0,0,0,0,1,1,1,3,12,14
UBCV,2020,W,FNEL,282,,001,Structures of Endangered Languages: Conservation and Revitalization,Daisy Rosenblum,21,77.04761905,15.15082899,95.0,27.0,1,0,1,0,1,3,1,5,2,2,5
UBCV,2020,W,FNEL,282,,OVERALL,Structures of Endangered Languages: Conservation and Revitalization,,21,77.04761905,15.15082899,95.0,27.0,1,0,1,0,1,3,1,5,2,2,5
UBCV,2020,W,FNEL,381,,001,"Biocultural Diversity: Language, Community, and Environment",Daisy Rosenblum,21,84.71428571,17.0942764,100.0,32.0,1,1,0,0,0,0,4,0,1,3,11
UBCV,2020,W,FNEL,381,,OVERALL,"Biocultural Diversity: Language, Community, and Environment",,21,84.71428571,17.0942764,100.0,32.0,1,1,0,0,0,0,4,0,1,3,11
UBCV,2020,W,FNEL,382,,001,Lexicography for Endangered Languages,Mark Turin,11,85.27272727,13.51362948,94.0,49.0,1,0,0,0,0,0,1,0,0,2,7
UBCV,2020,W,FNEL,382,,OVERALL,Lexicography for Endangered Languages,,11,85.27272727,13.51362948,94.0,49.0,1,0,0,0,0,0,1,0,0,2,7
UBCV,2020,W,FNEL,481,,001,Heritage Resources in Endangered First Nations Language Revitalization,Candace Galla;Daisy Rosenblum,6,89.66666667,8.453795992,98.0,74.0,0,0,0,0,0,0,1,0,0,1,4
UBCV,2020,W,FNEL,481,,OVERALL,Heritage Resources in Endangered First Nations Language Revitalization,,6,89.66666667,8.453795992,98.0,74.0,0,0,0,0,0,0,1,0,0,1,4
