Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,IGEN,201,,201,Integrated Technical Communication,Katherine Le;Matthew Allan Wong;Matthew Wong,52,77.461538462,10.016577511,91.0,50.0,0,2,1,2,3,5,4,7.0,14.0,9,5
UBCV,2020,W,IGEN,201,,OVERALL,Integrated Technical Communication,,52,77.461538462,10.016577511,91.0,50.0,0,2,1,2,3,5,4,7.0,14.0,9,5
UBCV,2020,W,IGEN,230,,001,Introduction to Engineering Design,Joseph Yan;Noboru Yonemitsu;Steven Weijs,63,85.301587302,7.93854403,96.0,35.0,1,0,0,0,0,1,0,4.0,14.0,29,14
UBCV,2020,W,IGEN,230,,OVERALL,Introduction to Engineering Design,,63,85.301587302,7.93854403,96.0,35.0,1,0,0,0,0,1,0,4.0,14.0,29,14
UBCV,2020,W,IGEN,330,,001,Intermediate Engineering Design,Jonathan Nakane;Kirkpatrick Richardson;Nicolas Unick,58,87.25862069,4.590456709,94.0,80.0,0,0,0,0,0,0,0,0.0,16.0,15,27
UBCV,2020,W,IGEN,330,,OVERALL,Intermediate Engineering Design,,58,87.25862069,4.590456709,94.0,80.0,0,0,0,0,0,0,0,0.0,16.0,15,27
UBCV,2020,W,IGEN,430,,001,Advanced Engineering Design Projects,Fariborz Taghipour;Sadana Karannagoda Gamage;Sanja Miskovic,52,86.961538462,6.471541134,96.0,73.0,0,0,0,0,0,0,2,0.0,18.0,14,18
UBCV,2020,W,IGEN,430,,OVERALL,Advanced Engineering Design Projects,,52,86.961538462,6.471541134,96.0,73.0,0,0,0,0,0,0,2,0.0,18.0,14,18
UBCV,2020,W,IGEN,450,,101,Pipeline Engineering,Dharmapriya Wijewickreme;Edouard Asselin;Sadana Karannagoda Gamage,27,83.148148148,7.209522035,96.0,65.0,0,0,0,0,1,1,2,2.0,8.0,9,4
UBCV,2020,W,IGEN,450,,OVERALL,Pipeline Engineering,,27,83.148148148,7.209522035,96.0,65.0,0,0,0,0,1,1,2,2.0,8.0,9,4
UBCV,2020,W,IGEN,451,,201,Pipeline Systems and Infrastructure,Dharmapriya Wijewickreme;Edouard Asselin;Jon Mikkelsen;Michael D Isaacson;Min Xu;Vladan Prodanovic,8,77.125,6.01040764,88.0,70.0,0,0,0,0,0,1,3,2.0,1.0,1,0
UBCV,2020,W,IGEN,451,,OVERALL,Pipeline Systems and Infrastructure,,8,77.125,6.01040764,88.0,70.0,0,0,0,0,0,1,3,2.0,1.0,1,0
UBCV,2020,W,IGEN,452,,201,Pipeline Design,Dharmapriya Wijewickreme;Michael D Isaacson;Prajakta Jadhav,13,89.615384615,4.891122256,94.0,77.0,0,0,0,0,0,0,0,1.0,0.0,4,8
UBCV,2020,W,IGEN,452,,OVERALL,Pipeline Design,,13,89.615384615,4.891122256,94.0,77.0,0,0,0,0,0,0,0,1.0,0.0,4,8
