Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,ITST,110,,201,"""Made in Italy""",Arianna Dagnino,28,78.928571429,18.295776828,97.0,2.0,1,1,0,1,0,3,2.0,1,7.0,6,6
UBCV,2020,W,ITST,110,,OVERALL,"""Made in Italy""",,28,78.928571429,18.295776828,97.0,2.0,1,1,0,1,0,3,2.0,1,7.0,6,6
UBCV,2020,W,ITST,232,,201,Introduction to Italian Culture II: From the Modern to the Post-Colonial Age,Gaoheng Zhang,34,84.941176471,13.658033881,96.0,25.0,1,0,0,2,0,0,0.0,1,9.0,6,15
UBCV,2020,W,ITST,232,,OVERALL,Introduction to Italian Culture II: From the Modern to the Post-Colonial Age,,34,84.941176471,13.658033881,96.0,25.0,1,0,0,2,0,0,0.0,1,9.0,6,15
UBCV,2020,W,ITST,333,,201,Masterpieces of the Novella in Italian Literature,Arianna Dagnino,22,80.909090909,10.609560338,95.0,50.0,0,1,0,1,0,1,1.0,4,6.0,4,4
UBCV,2020,W,ITST,333,,OVERALL,Masterpieces of the Novella in Italian Literature,,22,80.909090909,10.609560338,95.0,50.0,0,1,0,1,0,1,1.0,4,6.0,4,4
UBCV,2020,W,ITST,345,,101,Italian Fascism in Interdisciplinary Perspective,Carlo Testa;Gianluca Oluic;Mirta Roncagalli,33,76.303030303,10.984320781,96.0,46.0,1,0,2,0,2,6,2.0,6,5.0,6,3
UBCV,2020,W,ITST,345,,OVERALL,Italian Fascism in Interdisciplinary Perspective,,33,76.303030303,10.984320781,96.0,46.0,1,0,2,0,2,6,2.0,6,5.0,6,3
UBCV,2020,W,ITST,377,,101,Cultural Exchange between Modern Italy and China,Gaoheng Zhang,8,89.125,5.718079098,96.0,79.0,0,0,0,0,0,0,0.0,1,0.0,4,3
UBCV,2020,W,ITST,377,,OVERALL,Cultural Exchange between Modern Italy and China,,8,89.125,5.718079098,96.0,79.0,0,0,0,0,0,0,0.0,1,0.0,4,3
UBCV,2020,W,ITST,385,,101,Italian Cinema: Neorealism,Carlo Testa,20,76.0,12.582360251,93.0,36.0,1,0,0,1,1,1,7.0,2,2.0,3,2
UBCV,2020,W,ITST,385,,OVERALL,Italian Cinema: Neorealism,,20,76.0,12.582360251,93.0,36.0,1,0,0,1,1,1,7.0,2,2.0,3,2
UBCV,2020,W,ITST,414,,101,Topics in the Italian Literature and Culture of the Middle Ages in Translation,Daniela Boccassini,6,82.0,7.509993342,90.0,70.0,0,0,0,0,0,1,0.0,1,1.0,2,1
UBCV,2020,W,ITST,414,,OVERALL,Topics in the Italian Literature and Culture of the Middle Ages in Translation,,6,82.0,7.509993342,90.0,70.0,0,0,0,0,0,1,0.0,1,1.0,2,1
