Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,NAME,501,,201,Advanced Ship Structures,Iain Braidwood;Jasmin Jelovica,6,85.833333333,2.639444386,89.0,83.0,0,0,0,0,0,0,0,0,3,3,0
UBCV,2020,W,NAME,501,,OVERALL,Advanced Ship Structures,,6,85.833333333,2.639444386,89.0,83.0,0,0,0,0,0,0,0,0,3,3,0
UBCV,2020,W,NAME,502,,201,Advanced Ship Hydrodynamics,Jon Mikkelsen,7,90.142857143,5.080307452,96.0,80.0,0,0,0,0,0,0,0,0,1,1,5
UBCV,2020,W,NAME,502,,OVERALL,Advanced Ship Hydrodynamics,,7,90.142857143,5.080307452,96.0,80.0,0,0,0,0,0,0,0,0,1,1,5
UBCV,2020,W,NAME,522,,201,Ship Production and Industrial Engineering,Christophe Mobuchon;Jasmin Jelovica;Philip Koenig,12,90.916666667,3.964807305,96.0,86.0,0,0,0,0,0,0,0,0,0,6,6
UBCV,2020,W,NAME,522,,OVERALL,Ship Production and Industrial Engineering,,12,90.916666667,3.964807305,96.0,86.0,0,0,0,0,0,0,0,0,0,6,6
UBCV,2020,W,NAME,524,,101,Shipbuilding Project Management,Vitorio Stana,17,85.823529412,3.695187649,93.0,79.0,0,0,0,0,0,0,0,1,5,8,3
UBCV,2020,W,NAME,524,,OVERALL,Shipbuilding Project Management,,17,85.823529412,3.695187649,93.0,79.0,0,0,0,0,0,0,0,1,5,8,3
UBCV,2020,W,NAME,566,,201,Ship Dynamics and Control,Blanca Pena Roncero;Peter Ostafichuk;Rajeev Jaiman,12,85.583333333,6.815201369,98.0,76.0,0,0,0,0,0,0,0,2,4,3,3
UBCV,2020,W,NAME,566,,OVERALL,Ship Dynamics and Control,,12,85.583333333,6.815201369,98.0,76.0,0,0,0,0,0,0,0,2,4,3,3
UBCV,2020,W,NAME,578,,101,Marine Engineering,Fredrik Ahlgren;Jon Mikkelsen,14,89.714285714,4.631473788,95.0,80.0,0,0,0,0,0,0,0,0,3,1,10
UBCV,2020,W,NAME,578,,OVERALL,Marine Engineering,,14,89.714285714,4.631473788,95.0,80.0,0,0,0,0,0,0,0,0,3,1,10
UBCV,2020,W,NAME,581,,101,Ship Design,Christopher Brian Mckesson;Christopher Mckesson,22,92.590909091,4.905381796,100.0,81.0,0,0,0,0,0,0,0,0,1,5,16
UBCV,2020,W,NAME,581,,OVERALL,Ship Design,,22,92.590909091,4.905381796,100.0,81.0,0,0,0,0,0,0,0,0,1,5,16
UBCV,2020,W,NAME,591,,201,Computer-Aided Ship Design Project,Christopher Brian Mckesson;Christopher Mckesson;Dan Mcgreer;Yuecheng Cai,6,90.0,1.095445115,91.0,89.0,0,0,0,0,0,0,0,0,0,3,3
UBCV,2020,W,NAME,591,,OVERALL,Computer-Aided Ship Design Project,,6,90.0,1.095445115,91.0,89.0,0,0,0,0,0,0,0,0,0,3,3
