Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,S,SOCI,101,,801,Social Interaction and Culture,Christopher Mackenzie;Mary Jessome;Nathan Willins;Sally Ann Averitt-Hubbard,146,71.801369863,10.508203602,90.0,0.0,4,2.0,4.0,4.0,14,28,34,26,25,4,1
UBCV,2021,S,SOCI,101,,OVERALL,Social Interaction and Culture,,146,71.801369863,10.508203602,90.0,0.0,4,2.0,4.0,4.0,14,28,34,26,25,4,1
UBCV,2021,S,SOCI,102,,901,Inequality and Social Change,Christopher Mackenzie;Harriet Moore;Mary Jessome;Sally Ann Averitt-Hubbard,118,71.644067797,9.666689146,86.0,0.0,2,0.0,2.0,5.0,13,27,26,20,19,4,0
UBCV,2021,S,SOCI,102,,OVERALL,Inequality and Social Change,,118,71.644067797,9.666689146,86.0,0.0,2,0.0,2.0,5.0,13,27,26,20,19,4,0
UBCV,2021,S,SOCI,200,,901,Sociology of Family,Nathan Willins;Oral Robinson;Xingshu Liu,129,74.085271318,13.12739919,91.0,0.0,3,2.0,3.0,7.0,16,11,15,26,30,10,6
UBCV,2021,S,SOCI,200,,OVERALL,Sociology of Family,,129,74.085271318,13.12739919,91.0,0.0,3,2.0,3.0,7.0,16,11,15,26,30,10,6
UBCV,2021,S,SOCI,210,,801,Canadian Social Structure,Elic Chan;Siqi Xiao,61,76.459016393,13.895531381,95.0,0.0,3,0.0,1.0,1.0,2,7,4,9,16,15,3
UBCV,2021,S,SOCI,210,,OVERALL,Canadian Social Structure,,61,76.459016393,13.895531381,95.0,0.0,3,0.0,1.0,1.0,2,7,4,9,16,15,3
UBCV,2021,S,SOCI,217,,801,Research Methods,D Kyle Sutherland;Elic Chan,74,70.648648649,14.180279991,91.0,0.0,3,1.0,5.0,7.0,10,4,15,5,15,7,2
UBCV,2021,S,SOCI,217,,OVERALL,Research Methods,,74,70.648648649,14.180279991,91.0,0.0,3,1.0,5.0,7.0,10,4,15,5,15,7,2
UBCV,2021,S,SOCI,240,,801,Introduction to Social Interaction,Mark Shakespear;Neil Armitage;Patara Mckeen,146,73.767123288,7.756679965,87.0,18.0,2,0.0,2.0,4.0,11,21,48,27,25,6,0
