Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,S,WRDS,150,A,001,Writing and Research in the Disciplines,Amanda Lim;Kathleen Fitzpatrick,29,72.482758621,18.770456821,92.0,0.0,2,0.0,1.0,3.0,1.0,2,6,2,7.0,2.0,3
UBCV,2021,S,WRDS,150,A,002,Writing and Research in the Disciplines,Kirby Mania;Wai Yee Juliann Hui,27,72.740740741,17.636484458,88.0,1.0,2,0.0,0.0,3.0,0.0,2,5,4,5.0,6.0,0
UBCV,2021,S,WRDS,150,A,003,Writing and Research in the Disciplines,Jennifer Cowe;Kevin Wong,27,67.555555556,15.945419727,90.0,7.0,1,3.0,1.0,2.0,4.0,4,3,5,3.0,0.0,1
UBCV,2021,S,WRDS,150,A,004,Writing and Research in the Disciplines,Andrew Connolly;Kevin Chan,30,58.966666667,20.493032177,81.0,0.0,5,2.0,3.0,6.0,1.0,6,2,2,3.0,0.0,0
UBCV,2021,S,WRDS,150,A,005,Writing and Research in the Disciplines,Andrew Connolly;Kevin Chan,28,57.785714286,12.26665804,76.0,30.0,5,4.0,2.0,4.0,7.0,4,1,1,0.0,0.0,0
UBCV,2021,S,WRDS,150,A,006,Writing and Research in the Disciplines,Sara Qureshi;William Green,28,67.5,14.43375673,88.0,18.0,2,1.0,1.0,5.0,2.0,5,5,3,0.0,4.0,0
UBCV,2021,S,WRDS,150,A,OVERALL,Writing and Research in the Disciplines,,169,66.076923077,17.656780702,92.0,0.0,17,10.0,8.0,23.0,15.0,23,22,17,18.0,12.0,4
UBCV,2021,S,WRDS,150,B,500,Writing and Research in the Disciplines,Connor Byrne;Yvonne Nguyen,30,80.033333333,5.933443109,91.0,67.0,0,0.0,0.0,0.0,1.0,2,2,10,7.0,7.0,1
UBCV,2021,S,WRDS,150,B,501,Writing and Research in the Disciplines,Rohan Karpe;Sara Qureshi,30,77.266666667,5.692907465,87.0,65.0,0,0.0,0.0,0.0,2.0,2,7,7,10.0,2.0,0
UBCV,2021,S,WRDS,150,B,511,Writing and Research in the Disciplines,Jonathan Otto;Samantha Belhumeur,29,79.965517241,5.493390565,87.0,63.0,0,0.0,0.0,1.0,0.0,1,3,4,15.0,5.0,0
UBCV,2021,S,WRDS,150,B,512,Writing and Research in the Disciplines,Kevin Chan;Laura Knijnik Baumvol,28,76.714285714,12.724596022,90.0,31.0,2,0.0,0.0,0.0,0.0,1,1,10,12.0,0.0,2
UBCV,2021,S,WRDS,150,B,513,Writing and Research in the Disciplines,Tara Lee;Yvonne Nguyen,30,78.4,6.327825796,91.0,68.0,0,0.0,0.0,0.0,0.0,3,9,5,7.0,4.0,2
UBCV,2021,S,WRDS,150,B,514,Writing and Research in the Disciplines,Dilbarhon Hasanova;Sullivan Larson,29,74.206896552,9.593075294,90.0,56.0,0,0.0,4.0,1.0,3.0,2,4,5,7.0,2.0,1
