Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,W,ARBC,101,,001,Beginning Classical and Quranic Arabic I,Bushra Seemi Yasmin Ghazi,29,83.793103448,9.961996753,95.0,51.0,0,1,0,0,0.0,1,4,2,3,7,11
UBCV,2021,W,ARBC,101,,002,Beginning Classical and Quranic Arabic I,Syed Nahri,22,83.227272727,11.275476204,98.0,57.0,0,0,1,1,0.0,1,2,1,4,3,9
UBCV,2021,W,ARBC,101,,OVERALL,Beginning Classical and Quranic Arabic I,,51,83.549019608,10.442822847,98.0,51.0,0,1,1,1,0.0,2,6,3,7,10,20
UBCV,2021,W,ARBC,102,,001,Beginning Classical and Quranic Arabic II,Bushra Seemi Yasmin Ghazi,16,81.0,14.094916341,94.0,36.0,1,0,0,0,0.0,0,3,2,2,2,6
UBCV,2021,W,ARBC,102,,OVERALL,Beginning Classical and Quranic Arabic II,,16,81.0,14.094916341,94.0,36.0,1,0,0,0,0.0,0,3,2,2,2,6
UBCV,2021,W,ARBC,201,,001,Intermediate Classical and Quranic Arabic I,Bushra Seemi Yasmin Ghazi,12,79.166666667,13.224174374,95.0,51.0,0,1,0,1,0.0,0,3,0,2,2,3
UBCV,2021,W,ARBC,201,,OVERALL,Intermediate Classical and Quranic Arabic I,,12,79.166666667,13.224174374,95.0,51.0,0,1,0,1,0.0,0,3,0,2,2,3
UBCV,2021,W,ARBC,202,,001,Intermediate Classical and Quranic Arabic II,Bushra Seemi Yasmin Ghazi,13,80.461538462,12.580509957,98.0,52.0,0,1,0,0,0.0,3,0,0,3,3,3
UBCV,2021,W,ARBC,202,,OVERALL,Intermediate Classical and Quranic Arabic II,,13,80.461538462,12.580509957,98.0,52.0,0,1,0,0,0.0,3,0,0,3,3,3
UBCV,2021,W,ARBC,420,A,001,Supervised Study in Classical and Quranic Arabic,Bushra Seemi Yasmin Ghazi,11,81.0,11.670475569,98.0,60.0,0,0,0,1,0.0,2,0,2,2,0,4
UBCV,2021,W,ARBC,420,A,OVERALL,Supervised Study in Classical and Quranic Arabic,,11,81.0,11.670475569,98.0,60.0,0,0,0,1,0.0,2,0,2,2,0,4
