Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,W,EPSE,301,,074,Introduction to Educational Psychology,Adishi Gupta;Eliah Anderson;Fatemehsadat Heravi Moussavi;Martin Dammert Freundt Thurne;Sarah Szak;Surita Jhangiani,205,82.751219512,15.55860398,98.0,0.0,7,4,2,3,4,1.0,11.0,13.0,28.0,54.0,78
UBCV,2021,W,EPSE,301,,OVERALL,Introduction to Educational Psychology,,205,82.751219512,15.55860398,98.0,0.0,7,4,2,3,4,1.0,11.0,13.0,28.0,54.0,78
UBCV,2021,W,EPSE,303,,63A,Teaching Highly Able Learners,Chih Shen Lo;Ginaya Peters,34,91.5,5.695559142,100.0,70.0,0,0,0,0,0,1.0,0.0,0.0,3.0,4.0,26
UBCV,2021,W,EPSE,303,,63B,Teaching Highly Able Learners,Eva Leung;Hyekyung Lee,30,91.166666667,4.842935369,97.0,68.0,0,0,0,0,0,1.0,0.0,0.0,0.0,3.0,26
UBCV,2021,W,EPSE,303,,OVERALL,Teaching Highly Able Learners,,64,91.34375,5.274131991,100.0,68.0,0,0,0,0,0,2.0,0.0,0.0,3.0,7.0,52
UBCV,2021,W,EPSE,312,,074,Introduction to the Study of Exceptional Children,Mary Heikkila,36,91.138888889,4.485868464,96.0,70.0,0,0,0,0,0,1.0,0.0,0.0,1.0,5.0,29
UBCV,2021,W,EPSE,312,,OVERALL,Introduction to the Study of Exceptional Children,,36,91.138888889,4.485868464,96.0,70.0,0,0,0,0,0,1.0,0.0,0.0,1.0,5.0,29
UBCV,2021,W,EPSE,316,,074,Learning Disabilities,Brandy-Jean Grund;Carly Christensen,9,93.888888889,6.25388768,99.0,79.0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,8
UBCV,2021,W,EPSE,316,,075,Learning Disabilities,Mary Heikkila,26,93.076923077,2.784572885,98.0,88.0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,22
UBCV,2021,W,EPSE,316,,OVERALL,Learning Disabilities,,35,93.285714286,3.877320395,99.0,79.0,0,0,0,0,0,0.0,0.0,1.0,0.0,4.0,30
