Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,W,FIST,100,,001,Introduction to Film Studies,Christine Evans;Kathleen Wise;Qing Cao;Tamar Hanstke,115,76.660869565,12.447706022,94.0,17.0,4,2,4.0,3.0,7,3,16,19.0,27,20,10
UBCV,2021,W,FIST,100,,003,Introduction to Film Studies,Alexander Christensen;Andrew Kirby;Christine Evans;Gabrielle Berry;Qing Cao,110,72.927272727,17.494800848,94.0,0.0,13,4,2.0,6.0,5,7,8,10.0,27,17,11
UBCV,2021,W,FIST,100,,004,Introduction to Film Studies,Andrew Kirby;Brent Strang;Gabrielle Berry;Michael Stringer,84,76.226190476,11.2049378,92.0,0.0,2,0,0.0,3.0,3,11,11,18.0,24,11,1
UBCV,2021,W,FIST,100,,OVERALL,Introduction to Film Studies,,309,75.213592233,14.227728428,94.0,0.0,19,6,6.0,12.0,15,21,35,47.0,78,48,22
UBCV,2021,W,FIST,200,,002,Introduction to Canadian Cinema,Brent Strang;Christine Evans;Lisa Coulthard,39,77.897435897,10.698733009,94.0,50.0,0,2,0.0,3.0,1,3,4,6.0,7,10,3
UBCV,2021,W,FIST,200,,OVERALL,Introduction to Canadian Cinema,,39,77.897435897,10.698733009,94.0,50.0,0,2,0.0,3.0,1,3,4,6.0,7,10,3
UBCV,2021,W,FIST,210,,002,Early Cinema,Joseph Clark,39,81.0,19.661611006,97.0,2.0,2,0,0.0,0.0,0,2,1,4.0,7,14,9
UBCV,2021,W,FIST,210,,OVERALL,Early Cinema,,39,81.0,19.661611006,97.0,2.0,2,0,0.0,0.0,0,2,1,4.0,7,14,9
UBCV,2021,W,FIST,220,,002,Hollywood Cinema 1930-1960,Angela Morrison;Gabrielle Berry;Lisa Coulthard,79,75.873417722,16.397597611,95.0,0.0,4,3,1.0,2.0,5,5,10,9.0,13,15,12
UBCV,2021,W,FIST,220,,OVERALL,Hollywood Cinema 1930-1960,,79,75.873417722,16.397597611,95.0,0.0,4,3,1.0,2.0,5,5,10,9.0,13,15,12
UBCV,2021,W,FIST,230,,001,Introduction to Asian Cinema,Brent Strang;Mila Zuo;Su-Anne Yeo,41,85.804878049,8.706949845,100.0,59.0,0,0,1.0,0.0,1,1,2,3.0,5,12,16
UBCV,2021,W,FIST,230,,OVERALL,Introduction to Asian Cinema,,41,85.804878049,8.706949845,100.0,59.0,0,0,1.0,0.0,1,1,2,3.0,5,12,16
UBCV,2021,W,FIST,240,,001,Media Industries,Brent Strang,40,76.3,11.207140581,95.0,42.0,1,1,2.0,0.0,3,4,6,6.0,7,8,2
UBCV,2021,W,FIST,240,,002,Media Industries,Brent Strang;Ernest Mathijs,38,77.868421053,10.790814544,95.0,38.0,1,0,2.0,0.0,2,4,1,8.0,9,9,2
UBCV,2021,W,FIST,240,,OVERALL,Media Industries,,78,77.064102564,10.963149305,95.0,38.0,2,1,4.0,0.0,5,8,7,14.0,16,17,4
UBCV,2021,W,FIST,300,,001,Cult Cinema,Alexander Christensen;Angela Morrison;Ernest Mathijs;Harrison Wade,99,85.747474747,8.9343906,97.0,37.0,1,0,2.0,0.0,0,2,3,5.0,21,27,38
UBCV,2021,W,FIST,300,,OVERALL,Cult Cinema,,99,85.747474747,8.9343906,97.0,37.0,1,0,2.0,0.0,0,2,3,5.0,21,27,38
UBCV,2021,W,FIST,331,,002,Studies in Film Theory,Christine Evans,25,79.2,10.360180179,89.0,47.0,1,0,1.0,1.0,0,2,0,2.0,10,8,0
UBCV,2021,W,FIST,331,,OVERALL,Studies in Film Theory,,25,79.2,10.360180179,89.0,47.0,1,0,1.0,1.0,0,2,0,2.0,10,8,0
UBCV,2021,W,FIST,332,,001,Studies in Genre or Period,Brian Mcilroy;Lisa Coulthard;Sarah Shamash,27,93.740740741,14.585537074,100.0,26.0,1,0,0.0,0.0,0,0,0,1.0,1,1,23
UBCV,2021,W,FIST,332,,OVERALL,Studies in Genre or Period,,27,93.740740741,14.585537074,100.0,26.0,1,0,0.0,0.0,0,0,0,1.0,1,1,23
UBCV,2021,W,FIST,334,,001,Seminar in Documentary,Chelsea Birks;Chelsea Victoria Goodey Birks,19,78.684210526,9.285907073,91.0,53.0,0,1,0.0,1.0,0,0,2,6.0,5,2,2
UBCV,2021,W,FIST,334,,OVERALL,Seminar in Documentary,,19,78.684210526,9.285907073,91.0,53.0,0,1,0.0,1.0,0,0,2,6.0,5,2,2
UBCV,2021,W,FIST,336,,001,Seminar in European Cinema,Brian Mcilroy;Su-Anne Yeo,21,84.714285714,7.294812247,93.0,61.0,0,0,0.0,1.0,0,0,0,2.0,6,7,5
UBCV,2021,W,FIST,336,,OVERALL,Seminar in European Cinema,,21,84.714285714,7.294812247,93.0,61.0,0,0,0.0,1.0,0,0,0,2.0,6,7,5
UBCV,2021,W,FIST,338,A,001,Asian and Australasian Cinema,Joceline Andersen;Mila Zuo,27,75.148148148,12.781307576,87.0,33.0,2,0,1.0,0.0,0,0,5,7.0,10,2,0
UBCV,2021,W,FIST,338,A,OVERALL,Asian and Australasian Cinema,,27,75.148148148,12.781307576,87.0,33.0,2,0,1.0,0.0,0,0,5,7.0,10,2,0
UBCV,2021,W,FIST,340,,001,Media Audiences,Ernest Mathijs;Gerrit Krueper,42,88.880952381,4.278148568,94.0,69.0,0,0,0.0,0.0,0,1,0,0.0,2,18,21
UBCV,2021,W,FIST,340,,OVERALL,Media Audiences,,42,88.880952381,4.278148568,94.0,69.0,0,0,0.0,0.0,0,1,0,0.0,2,18,21
UBCV,2021,W,FIST,430,,001,Studies in Auteurism,Christine Evans,24,86.666666667,5.418700844,92.0,69.0,0,0,0.0,0.0,0,1,1,0.0,2,12,8
UBCV,2021,W,FIST,430,,OVERALL,Studies in Auteurism,,24,86.666666667,5.418700844,92.0,69.0,0,0,0.0,0.0,0,1,1,0.0,2,12,8
UBCV,2021,W,FIST,432,,001,Seminar in Motion Picture Forms,Christine Evans,22,82.318181818,10.489842541,90.0,45.0,1,0,0.0,0.0,2,0,0,0.0,5,13,1
UBCV,2021,W,FIST,432,,OVERALL,Seminar in Motion Picture Forms,,22,82.318181818,10.489842541,90.0,45.0,1,0,0.0,0.0,2,0,0,0.0,5,13,1
UBCV,2021,W,FIST,436,,001,Seminar in American Cinema Since 1960,Brent Strang;Lisa Coulthard,21,74.761904762,18.835882676,93.0,21.0,3,0,0.0,0.0,0,0,5,4.0,2,4,3
UBCV,2021,W,FIST,436,,OVERALL,Seminar in American Cinema Since 1960,,21,74.761904762,18.835882676,93.0,21.0,3,0,0.0,0.0,0,0,5,4.0,2,4,3
UBCV,2021,W,FIST,445,,001,Majors and Honours Seminar,Lisa Coulthard,19,88.315789474,2.625783091,94.0,83.0,0,0,0.0,0.0,0,0,0,0.0,2,9,8
UBCV,2021,W,FIST,445,,OVERALL,Majors and Honours Seminar,,19,88.315789474,2.625783091,94.0,83.0,0,0,0.0,0.0,0,0,0,0.0,2,9,8
UBCV,2021,W,FIST,520,,001,Advanced Film and Media Criticism,Mila Zuo,7,87.142857143,1.67616342,89.0,84.0,0,0,0.0,0.0,0,0,0,0.0,1,6,0
UBCV,2021,W,FIST,520,,OVERALL,Advanced Film and Media Criticism,,7,87.142857143,1.67616342,89.0,84.0,0,0,0.0,0.0,0,0,0,0.0,1,6,0
