Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,W,FNH,200,,101,Exploring Our Food,Azita Madadi Noei;Meixuan Li;Nilanga Aki Bandara;Wanyi Nara Kim;Xanyar Mohammadi,152,82.315789474,11.143507629,100.0,52.0,0,4,2,3,7,9,17,12,24,25,49
UBCV,2021,W,FNH,200,,103,Exploring Our Food,Azita Madadi Noei;Meixuan Li;Nilanga Aki Bandara;Wanyi Nara Kim;Xanyar Mohammadi,130,79.476923077,15.311856573,99.0,19.0,6,1,1,4,5,14,11,9,15,28,36
UBCV,2021,W,FNH,200,,104,Exploring Our Food,Bowornnan Chantapakul;Catherine Wong;Siyun Wang,143,87.265734266,9.730850497,98.0,52.0,0,2,1,1,3,7,6,3,15,29,76
UBCV,2021,W,FNH,200,,99A,Exploring Our Food,Anahita Madadi-Noee;Catherine Wong,43,85.837209302,9.889701793,100.0,56.0,0,0,1,1,2,0,4,0,4,13,18
UBCV,2021,W,FNH,200,,99E,Exploring Our Food,Anahita Madadi-Noee;Catherine Wong;Jennifer Mcqueen,54,82.277777778,15.420418547,99.0,1.0,2,0,0,0,1,3,3,7,7,15,16
UBCV,2021,W,FNH,200,,OVERALL,Exploring Our Food,,522,83.250957854,12.680945589,100.0,1.0,8,7,5,9,18,33,41,31,65,110,195
UBCV,2021,W,FNH,250,,001,Nutrition Concepts and Controversies,Gail Hammond;Joanne Chu;Thao Hoang;Tim Wu,125,76.256,12.953953189,95.0,7.0,3,4,3,3,9,16,10,19,20,29,9
UBCV,2021,W,FNH,250,,003,Nutrition Concepts and Controversies,Chanel Soo;Gail Hammond;Joanne Chu;Thao Hoang,129,80.186046512,10.83596979,98.0,26.0,1,2,1,4,2,13,15,21,21,23,26
UBCV,2021,W,FNH,250,,99A,Nutrition Concepts and Controversies,Elizabeth Novak;Maryam Kheirmandparizi,45,77.822222222,11.566583704,95.0,25.0,1,0.0,1,2,1,4,4,9,12,9,2
UBCV,2021,W,FNH,250,,99C,Nutrition Concepts and Controversies,Elizabeth Novak;Maryam Kheirmandparizi,44,75.409090909,14.870476732,95.0,35.0,3,3,1,1,1,3,4,9,6,7,6
UBCV,2021,W,FNH,250,,OVERALL,Nutrition Concepts and Controversies,,343,77.83090379,12.391776232,98.0,7.0,8,9,6,10,13,36,33,58,59,68,43
UBCV,2021,W,FNH,300,,001,Food Engineering,Alireza Mashayekhi;Anubhav Pratap Singh;John Frostad;Lanxin Mo,29,83.862068966,10.439362795,97.0,61.0,0,0,0,2,1,2,1,1,6,8,8
UBCV,2021,W,FNH,300,,OVERALL,Food Engineering,,29,83.862068966,10.439362795,97.0,61.0,0,0,0,2,1,2,1,1,6,8,8
UBCV,2021,W,FNH,301,,001,Food Chemistry,Amelie Huiying Zhang;David Kitts,41,77.0,8.888194417,96.0,53.0,0,1,0.0,2,3,4,6,6,11,7,1
UBCV,2021,W,FNH,301,,OVERALL,Food Chemistry,,41,77.0,8.888194417,96.0,53.0,0,1,0.0,2,3,4,6,6,11,7,1
UBCV,2021,W,FNH,302,,001,Food Analysis,Derek Dee;Lanfang Charlotte Shi;Yuran Zhang,50,76.96,9.969258872,90.0,52.0,0,1,2,3,5,2,6,5,9,16,1
UBCV,2021,W,FNH,302,,OVERALL,Food Analysis,,50,76.96,9.969258872,90.0,52.0,0,1,2,3,5,2,6,5,9,16,1
UBCV,2021,W,FNH,303,,001,Food Product Development,Anubhav Pratap Singh;Anubhav Pratap-Singh;Christine Scaman;Mithun Dey,64,84.125,6.293105323,95.0,62.0,0,0,0,1,0.0,1,3,6,15,22,16
UBCV,2021,W,FNH,303,,OVERALL,Food Product Development,,64,84.125,6.293105323,95.0,62.0,0,0,0,1,0.0,1,3,6,15,22,16
UBCV,2021,W,FNH,309,,001,Food Processing,Anubhav Pratap Singh;Anubhav Pratap-Singh;Xanyar Mohammadi,49,82.857142857,12.308533625,96.0,23.0,1,0,0,1,1,1,7,3,8,8,19
UBCV,2021,W,FNH,309,,OVERALL,Food Processing,,49,82.857142857,12.308533625,96.0,23.0,1,0,0,1,1,1,7,3,8,8,19
UBCV,2021,W,FNH,313,,001,Food Microbiology,Bowornnan Chantapakul;Catherine Wong;Jiangning He;Justin Falardeau;Patricia Hingston;Thomas Guy;Yunxuan Cassandra Chen,187,83.673796791,10.397761754,98.0,11.0,2,0.0,3,1,3,5,9,19,41,51,53
UBCV,2021,W,FNH,313,,OVERALL,Food Microbiology,,187,83.673796791,10.397761754,98.0,11.0,2,0.0,3,1,3,5,9,19,41,51,53
UBCV,2021,W,FNH,325,,001,Food Science Laboratory I,Jiangning He;John Dupuis;Ka Yan Lennie Cheung;Ronit Mandal,24,82.625,4.105272326,88.0,74.0,0,0,0,0,0,0,2,4,8,10,0
UBCV,2021,W,FNH,325,,OVERALL,Food Science Laboratory I,,24,82.625,4.105272326,88.0,74.0,0,0,0,0,0,0,2,4,8,10,0
UBCV,2021,W,FNH,326,,001,Food Science Laboratory II,Jackson Moore;Jiangning He;John Dupuis;Ka Yan Lennie Cheung,24,81.958333333,6.082613616,91.0,70.0,0,0,0,0,0,2,3,3,7,7,2
UBCV,2021,W,FNH,326,,OVERALL,Food Science Laboratory II,,24,81.958333333,6.082613616,91.0,70.0,0,0,0,0,0,2,3,3,7,7,2
UBCV,2021,W,FNH,330,,001,Introduction to Wine Science 1,Alysha Deslippe;Asmita Sharma;Lisa Dowling;Shihan Zhang;Xiaojing Deng,157,85.707006369,12.1308365,99.0,0.0,2,0,0,2,4,3,9,7,20,42,68
UBCV,2021,W,FNH,330,,002,Introduction to Wine Science 1,Alysha Deslippe;Angela Siemens;David Mcarthur;Sidney Roberge;Xanyar Mohammadi,142,74.809859155,10.403854372,94.0,43.0,2,2,5,11,11,20,21,21,21,18,10
