Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,W,LIBR,504,,001,Management of Information Organizations,Luanne Silvia Sinnamon,21,84.238095238,3.858817978,88.0,70.0,0,0,0,0,0,1,0,0,8,12,0
UBCV,2021,W,LIBR,504,,002,Management of Information Organizations,Deborah Schachter;Debra Millward;Luanne Silvia Sinnamon,25,90.32,1.886796226,94.0,87.0,0,0,0,0,0,0,0,0,0,8,17
UBCV,2021,W,LIBR,504,,OVERALL,Management of Information Organizations,,46,87.543478261,4.230610787,94.0,70.0,0,0,0,0,0,1,0,0,8,20,17
UBCV,2021,W,LIBR,506,,001,Human-Information Interaction,Luanne Silvia Sinnamon;Niloufar Davoudi,43,83.76744186,1.688013898,87.0,81.0,0,0,0,0,0,0,0,0,27,16,0
UBCV,2021,W,LIBR,506,,002,Human-Information Interaction,Heather O'Brien;Niloufar Davoudi;Teresa Prendergast,52,86.980769231,1.985144679,92.0,82.0,0,0,0,0,0,0,0,0,4,41,7
UBCV,2021,W,LIBR,506,,OVERALL,Human-Information Interaction,,95,85.526315789,2.448803899,92.0,81.0,0,0,0,0,0,0,0,0,31,57,7
UBCV,2021,W,LIBR,507,,001,Methods of Research and Evaluation in Information Organizations,Richard Kopak,47,84.765957447,8.403448479,89.0,30.0,1,0,0,0,0,0,0,1,6,39,0
UBCV,2021,W,LIBR,507,,002,Methods of Research and Evaluation in Information Organizations,Alvionne Gardner-Harrison;Richard Kopak,50,84.4,8.290638931,91.0,40.0,2,0,0,0,0,0,0,1,8,35,4
UBCV,2021,W,LIBR,507,,OVERALL,Methods of Research and Evaluation in Information Organizations,,97,84.577319588,8.303908532,91.0,30.0,3,0,0,0,0,0,0,2,14,74,4
UBCV,2021,W,LIBR,508,,001,Information Practices in Contemporary Society,Emily Leischner;Hannah Turner,44,86.704545455,1.772916995,91.0,83.0,0,0,0,0,0,0,0,0,4,37,3
